"",BBK01.OEAC49H,BBK01.OEAC49H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:49,
2002-01,7.371,
2002-04,7.341,
2002-07,7.199,
2002-10,7.150,
2003-01,7.003,
2003-04,6.936,
2003-07,6.850,
2003-10,6.927,
2004-01,6.742,
2004-04,6.724,
2004-07,6.586,
2004-10,6.363,
2005-01,6.247,
2005-04,6.171,
2005-07,6.179,
2005-10,6.156,
2006-01,6.105,
2006-04,6.062,
2006-07,5.963,
2006-10,5.785,
2007-01,5.759,
2007-04,5.758,
2007-07,5.795,
2007-10,5.728,
2008-01,5.677,
2008-04,5.702,
2008-07,5.717,
2008-10,6.053,
2009-01,6.123,
2009-04,5.874,
2009-07,5.965,
2009-10,5.917,
2010-01,5.902,
2010-04,6.063,
2010-07,6.024,
2010-10,6.050,
2011-01,6.222,
2011-04,6.246,
2011-07,6.220,
2011-10,6.240,
2012-01,6.214,
2012-04,6.206,
2012-07,6.266,
2012-10,6.166,
2013-01,6.210,
2013-04,6.218,
2013-07,6.283,
2013-10,6.274,
2014-01,6.245,
2014-04,6.350,
2014-07,6.329,
