"",BBK01.BQM009,BBK01.BQM009_FLAGS
"",General government debt - of which loans - of which long-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:36,
2000-01,470598,
2000-04,472367,
2000-07,465938,
2000-10,453337,
2001-01,447326,
2001-04,445260,
2001-07,441995,
2001-10,436472,
2002-01,431279,
2002-04,426777,
2002-07,424275,
2002-10,421268,
2003-01,419028,
2003-04,419686,
2003-07,422938,
2003-10,428972,
2004-01,427465,
2004-04,427356,
2004-07,429565,
2004-10,427386,
2005-01,428225,
2005-04,421778,
2005-07,424181,
2005-10,421548,
2006-01,417159,
2006-04,411904,
2006-07,408446,
2006-10,410756,
2007-01,400270,
2007-04,396053,
2007-07,391886,
2007-10,386023,
2008-01,393101,
2008-04,394139,
2008-07,388159,
2008-10,388429,
2009-01,386559,
2009-04,393360,
2009-07,396857,
2009-10,400205,
2010-01,397469,Provisional value
2010-04,411779,Provisional value
2010-07,413306,Provisional value
2010-10,425313,Provisional value
2011-01,429835,Provisional value
2011-04,425393,Provisional value
2011-07,429622,Provisional value
2011-10,423577,Provisional value
2012-01,438013,Provisional value
2012-04,446502,Provisional value
2012-07,451499,Provisional value
2012-10,459006,Provisional value
2013-01,460660,Provisional value
2013-04,466236,Provisional value
2013-07,467080,Provisional value
2013-10,464600,Provisional value
2014-01,458407,Provisional value
2014-04,455478,Provisional value
2014-07,451575,Provisional value
