"",BBK01.OECJ03L,BBK01.OECJ03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:25,
2002-01,23.996,
2002-04,27.513,
2002-07,29.467,
2002-10,28.705,
2003-01,28.767,
2003-04,31.106,
2003-07,36.055,
2003-10,32.383,
2004-01,27.945,
2004-04,28.371,
2004-07,27.109,
2004-10,29.330,
2005-01,29.196,
2005-04,34.845,
2005-07,33.563,
2005-10,33.743,
2006-01,39.070,
2006-04,38.031,
2006-07,39.042,
2006-10,34.860,
2007-01,33.003,
2007-04,34.306,
2007-07,37.784,
2007-10,45.075,
2008-01,42.946,
2008-04,46.545,
2008-07,37.104,
2008-10,50.868,
2009-01,52.780,
2009-04,52.355,
2009-07,53.359,
2009-10,47.763,
2010-01,46.772,
2010-04,46.688,
2010-07,44.932,
2010-10,47.502,
2011-01,40.515,
2011-04,59.556,
2011-07,54.824,
2011-10,51.151,
2012-01,43.925,
2012-04,44.162,
2012-07,41.661,
2012-10,44.122,
2013-01,48.783,
2013-04,62.618,
2013-07,34.695,
2013-10,33.182,
2014-01,34.279,
2014-04,33.775,
2014-07,35.939,
