"",BBK01.OEXB20G,BBK01.OEXB20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:00,
2002-01,24.797,
2002-04,25.301,
2002-07,25.729,
2002-10,26.532,
2003-01,26.865,
2003-04,27.173,
2003-07,27.692,
2003-10,28.272,
2004-01,28.633,
2004-04,29.897,
2004-07,33.570,
2004-10,34.629,
2005-01,13.732,
2005-04,13.968,
2005-07,7.921,
2005-10,8.089,
2006-01,8.309,
2006-04,8.219,
2006-07,8.387,
2006-10,8.505,
2007-01,8.631,
2007-04,8.792,
2007-07,8.900,
2007-10,8.801,
2008-01,8.865,
2008-04,9.118,
2008-07,9.145,
2008-10,9.174,
2009-01,9.295,
2009-04,9.350,
2009-07,9.567,
2009-10,9.524,
2010-01,9.525,
2010-04,9.428,
2010-07,9.437,
2010-10,9.368,
2011-01,9.326,
2011-04,9.343,
2011-07,9.359,
2011-10,9.365,
2012-01,9.327,
2012-04,9.353,
2012-07,9.356,
2012-10,9.321,
2013-01,9.358,
2013-04,9.426,
2013-07,9.470,
2013-10,9.530,
2014-01,9.587,
2014-04,9.783,
2014-07,9.875,
