"",BBK01.OEAA04M,BBK01.OEAA04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:39,
2002-01,0.251,
2002-04,0.274,
2002-07,0.212,
2002-10,0.250,
2003-01,0.202,
2003-04,0.216,
2003-07,0.206,
2003-10,0.199,
2004-01,0.183,
2004-04,0.173,
2004-07,0.168,
2004-10,0.206,
2005-01,0.161,
2005-04,0.151,
2005-07,0.160,
2005-10,0.178,
2006-01,0.153,
2006-04,0.161,
2006-07,0.141,
2006-10,0.141,
2007-01,0.106,
2007-04,0.101,
2007-07,0.096,
2007-10,0.115,
2008-01,0.090,
2008-04,0.086,
2008-07,0.082,
2008-10,0.115,
2009-01,0.076,
2009-04,0.072,
2009-07,0.061,
2009-10,0.098,
2010-01,0.051,
2010-04,0.052,
2010-07,0.048,
2010-10,0.079,
2011-01,0.055,
2011-04,0.050,
2011-07,0.050,
2011-10,0.111,
2012-01,0.051,
2012-04,0.044,
2012-07,0.040,
2012-10,0.092,
2013-01,0.077,
2013-04,0.051,
2013-07,0.052,
2013-10,0.093,
2014-01,0.044,
2014-04,0.047,
2014-07,0.044,
