"",BBK01.OEAC47J,BBK01.OEAC47J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:35,
2002-01,0.525,
2002-04,0.514,
2002-07,0.619,
2002-10,0.636,
2003-01,0.631,
2003-04,0.614,
2003-07,0.592,
2003-10,0.596,
2004-01,0.586,
2004-04,0.592,
2004-07,0.556,
2004-10,0.539,
2005-01,0.534,
2005-04,0.549,
2005-07,0.533,
2005-10,0.610,
2006-01,0.621,
2006-04,0.647,
2006-07,0.648,
2006-10,0.650,
2007-01,0.652,
2007-04,0.699,
2007-07,0.746,
2007-10,0.786,
2008-01,0.826,
2008-04,0.875,
2008-07,0.915,
2008-10,0.970,
2009-01,0.952,
2009-04,0.947,
2009-07,0.895,
2009-10,0.868,
2010-01,0.563,
2010-04,0.875,
2010-07,0.829,
2010-10,0.826,
2011-01,0.828,
2011-04,0.769,
2011-07,0.778,
2011-10,0.733,
2012-01,0.710,
2012-04,0.695,
2012-07,0.651,
2012-10,0.622,
2013-01,0.602,
2013-04,0.606,
2013-07,0.595,
2013-10,0.591,
2014-01,0.584,
2014-04,0.553,
2014-07,0.512,
