"",BBK01.CEFF15,BBK01.CEFF15_FLAGS
"",long-term loans  debtor: Non-financial corporations                        creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:41,
1999-01,1.4,
1999-04,1.4,
1999-07,1.5,
1999-10,1.5,
2000-01,1.5,
2000-04,1.5,
2000-07,1.6,
2000-10,1.6,
2001-01,2.0,
2001-04,2.3,
2001-07,2.7,
2001-10,3.1,
2002-01,3.0,
2002-04,2.9,
2002-07,2.9,
2002-10,2.8,
2003-01,3.0,
2003-04,3.1,
2003-07,3.3,
2003-10,3.2,
2004-01,3.8,
2004-04,4.4,
2004-07,5.0,
2004-10,5.6,
2005-01,6.3,
2005-04,6.9,
2005-07,7.6,
2005-10,8.2,
2006-01,8.6,
2006-04,9.0,
2006-07,9.4,
2006-10,9.8,
2007-01,10.4,
2007-04,10.9,
2007-07,11.5,
2007-10,12.1,
2008-01,11.6,
2008-04,11.1,
2008-07,10.7,
2008-10,10.2,
2009-01,10.0,
2009-04,9.9,
2009-07,9.7,
2009-10,9.5,
2010-01,9.2,
2010-04,8.8,
2010-07,8.5,
2010-10,8.1,
2011-01,8.3,
2011-04,8.4,
2011-07,8.5,
2011-10,8.7,
2012-01,8.9,
2012-04,9.1,
2012-07,9.3,
2012-10,9.5,
2013-01,8.7,
2013-04,7.6,
2013-07,7.6,
2013-10,5.7,
2014-01,5.7,
2014-04,5.4,
2014-07,5.3,
