"",BBK01.OEBI09N,BBK01.OEBI09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:08,
2002-01,5.027,
2002-04,4.800,
2002-07,4.808,
2002-10,4.546,
2003-01,4.097,
2003-04,3.739,
2003-07,3.401,
2003-10,3.225,
2004-01,3.051,
2004-04,2.866,
2004-07,2.688,
2004-10,2.309,
2005-01,2.451,
2005-04,2.319,
2005-07,1.996,
2005-10,1.966,
2006-01,1.979,
2006-04,2.168,
2006-07,2.374,
2006-10,2.601,
2007-01,3.615,
2007-04,4.125,
2007-07,4.603,
2007-10,5.273,
2008-01,5.610,
2008-04,5.872,
2008-07,6.199,
2008-10,9.103,
2009-01,8.974,
2009-04,8.804,
2009-07,8.737,
2009-10,7.003,
2010-01,5.633,
2010-04,5.419,
2010-07,5.149,
2010-10,6.076,
2011-01,6.976,
2011-04,7.292,
2011-07,7.387,
2011-10,7.086,
2012-01,6.607,
2012-04,6.572,
2012-07,6.172,
2012-10,5.242,
2013-01,4.391,
2013-04,3.769,
2013-07,3.490,
2013-10,3.297,
2014-01,3.154,
2014-04,3.021,
2014-07,3.927,
