"",BBDE1.Q.DE.Y.LCC1.N2C000000.A.L.I08.A,BBDE1.Q.DE.Y.LCC1.N2C000000.A.L.I08.A_FLAGS
"",Index of non-wage costs / Germany / Section C - Manufacturing / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:18,
1996-01,76.9,
1996-04,75.4,
1996-07,77.7,
1996-10,79.7,
1997-01,80.4,
1997-04,77.6,
1997-07,79.2,
1997-10,80.2,
1998-01,79.4,
1998-04,79.9,
1998-07,80.9,
1998-10,82.6,
1999-01,82.2,
1999-04,82.5,
1999-07,82.1,
1999-10,83.1,
2000-01,89.5,
2000-04,90.5,
2000-07,91.6,
2000-10,93.5,
2001-01,93.5,
2001-04,94.3,
2001-07,94.7,
2001-10,95.0,
2002-01,99.7,
2002-04,97.1,
2002-07,98.3,
2002-10,97.8,
2003-01,99.8,
2003-04,100.5,
2003-07,100.6,
2003-10,99.8,
2004-01,101.1,
2004-04,101.5,
2004-07,100.4,
2004-10,99.7,
2005-01,100.5,
2005-04,98.0,
2005-07,96.6,
2005-10,98.3,
2006-01,104.2,
2006-04,103.8,
2006-07,105.0,
2006-10,104.9,
2007-01,98.2,
2007-04,98.6,
2007-07,97.6,
2007-10,98.3,
2008-01,99.0,
2008-04,96.9,
2008-07,99.8,
2008-10,104.3,
2009-01,102.6,
2009-04,103.2,
2009-07,103.1,
2009-10,102.0,
2010-01,103.9,
2010-04,103.4,
2010-07,103.8,
2010-10,104.1,
2011-01,107.8,
2011-04,108.3,
2011-07,106.9,
2011-10,108.5,
2012-01,106.2,
2012-04,109.0,
2012-07,108.8,
2012-10,109.6,
2013-01,118.6,
2013-04,114.1,
2013-07,113.6,
2013-10,115.9,
2014-01,116.0,
2014-04,118.9,
2014-07,117.1,
