"",BBK01.OELB13L,BBK01.OELB13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:58,
2002-01,8.797,
2002-04,8.816,
2002-07,8.790,
2002-10,8.771,
2003-01,8.677,
2003-04,8.650,
2003-07,8.624,
2003-10,8.598,
2004-01,8.508,
2004-04,8.467,
2004-07,8.414,
2004-10,8.269,
2005-01,8.169,
2005-04,8.144,
2005-07,8.175,
2005-10,8.170,
2006-01,8.139,
2006-04,8.153,
2006-07,8.151,
2006-10,8.206,
2007-01,8.184,
2007-04,8.317,
2007-07,8.335,
2007-10,8.321,
2008-01,8.267,
2008-04,8.297,
2008-07,8.249,
2008-10,8.290,
2009-01,8.285,
2009-04,8.343,
2009-07,8.398,
2009-10,8.426,
2010-01,8.470,
2010-04,8.521,
2010-07,8.521,
2010-10,8.511,
2011-01,8.521,
2011-04,8.539,
2011-07,8.585,
2011-10,8.603,
2012-01,8.657,
2012-04,10.220,
2012-07,10.278,
2012-10,10.280,
2013-01,10.343,
2013-04,10.352,
2013-07,10.368,
2013-10,10.356,
2014-01,10.369,
2014-04,10.375,
2014-07,10.433,
