"",BBK01.OEYL03J,BBK01.OEYL03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:08,
2002-01,0.519,
2002-04,0.503,
2002-07,0.511,
2002-10,0.541,
2003-01,0.535,
2003-04,0.533,
2003-07,0.527,
2003-10,0.547,
2004-01,0.641,
2004-04,0.655,
2004-07,0.550,
2004-10,0.499,
2005-01,0.558,
2005-04,0.574,
2005-07,0.602,
2005-10,0.596,
2006-01,0.602,
2006-04,0.602,
2006-07,0.643,
2006-10,0.673,
2007-01,0.692,
2007-04,0.706,
2007-07,0.727,
2007-10,0.851,
2008-01,0.724,
2008-04,0.719,
2008-07,0.799,
2008-10,0.883,
2009-01,0.828,
2009-04,0.876,
2009-07,0.814,
2009-10,0.737,
2010-01,0.712,
2010-04,0.673,
2010-07,0.670,
2010-10,0.705,
2011-01,0.728,
2011-04,0.758,
2011-07,0.756,
2011-10,0.779,
2012-01,0.784,
2012-04,0.614,
2012-07,0.608,
2012-10,0.605,
2013-01,0.600,
2013-04,0.593,
2013-07,0.589,
2013-10,0.597,
2014-01,0.574,
2014-04,0.549,
2014-07,0.109,
