"",BBK01.OELB20P,BBK01.OELB20P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:51,
2002-01,2.892,
2002-04,2.921,
2002-07,2.831,
2002-10,2.861,
2003-01,2.990,
2003-04,3.010,
2003-07,3.059,
2003-10,3.114,
2004-01,3.137,
2004-04,3.153,
2004-07,3.203,
2004-10,3.233,
2005-01,3.224,
2005-04,3.242,
2005-07,3.265,
2005-10,3.278,
2006-01,3.294,
2006-04,3.323,
2006-07,3.344,
2006-10,3.355,
2007-01,3.349,
2007-04,3.358,
2007-07,3.377,
2007-10,3.352,
2008-01,3.337,
2008-04,3.338,
2008-07,3.329,
2008-10,3.307,
2009-01,3.287,
2009-04,3.304,
2009-07,3.347,
2009-10,3.372,
2010-01,3.373,
2010-04,3.414,
2010-07,3.443,
2010-10,3.479,
2011-01,3.507,
2011-04,3.555,
2011-07,3.608,
2011-10,3.644,
2012-01,3.661,
2012-04,3.782,
2012-07,3.825,
2012-10,3.861,
2013-01,3.870,
2013-04,3.905,
2013-07,3.915,
2013-10,3.939,
2014-01,3.960,
2014-04,3.977,
2014-07,4.000,
