"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:31,
1999-10,372680,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,444223,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,541466,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,596874,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,623036,
2004-01,665576,
2004-04,667177,
2004-07,699616,
2004-10,718034,
2005-01,771827,
2005-04,846012,
2005-07,843936,
2005-10,863825,
2006-01,900716,
2006-04,932123,
2006-07,997584,
2006-10,1025107,
2007-01,1093959,
2007-04,1078764,
2007-07,1083968,
2007-10,1084348,
2008-01,1100336,
2008-04,1109703,
2008-07,1106678,
2008-10,1085145,
2009-01,1090436,
2009-04,1142541,
2009-07,1205155,
2009-10,1226836,
2010-01,1262769,
2010-04,1280484,
2010-07,1304362,
2010-10,1341000,
2011-01,1350068,
2011-04,1346319,
2011-07,1310430,
2011-10,1316208,
2012-01,1405899,
2012-04,1418557,
2012-07,1464744,
2012-10,1499524,
2013-01,1510170,
2013-04,1507294,
2013-07,1520379,
2013-10,1541495,
2014-01,1589865,
2014-04,1649279,
2014-07,1688596,
