"",BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:59,
1991-01,3.113,
1991-04,227.827,
1991-07,392.017,
1991-10,-2.971,
1992-01,-17.436,
1992-04,-226.034,
1992-07,-143.740,
1992-10,-20.594,
1993-01,-34.481,
1993-04,-197.798,
1993-07,-17.480,
1993-10,-99.943,
1994-01,50.202,
1994-04,-114.956,
1994-07,-31.402,
1994-10,-32.299,
1995-01,-56.227,
1995-04,-125.718,
1995-07,27.591,
1995-10,-68.779,
1996-01,-160.273,
1996-04,136.719,
1996-07,46.751,
1996-10,682.227,
1997-01,-121.238,
1997-04,-157.961,
1997-07,-78.694,
1997-10,66.487,
1998-01,-214.110,
1998-04,-79.057,
1998-07,241.796,
1998-10,147.665,
1999-01,165.068,
1999-04,-19.617,
1999-07,-51.228,
1999-10,-94.660,
2000-01,144.481,
2000-04,-314.641,
2000-07,37.182,
2000-10,504.829,
2001-01,118.733,
2001-04,-224.524,
2001-07,-207.402,
2001-10,-92.330,
2002-01,-169.884,
2002-04,-5.909,
2002-07,-152.034,
2002-10,30.289,
2003-01,1212.612,
2003-04,-301.178,
2003-07,108.598,
2003-10,70.155,
2004-01,556.930,
2004-04,-772.143,
2004-07,-15.035,
2004-10,826.119,
2005-01,572.693,
2005-04,192.915,
2005-07,-509.420,
2005-10,-4155.586,
2006-01,135.979,
2006-04,2530.504,
2006-07,-510.324,
2006-10,1067.801,
2007-01,-464.097,
2007-04,-500.165,
2007-07,35.531,
2007-10,1057.286,
2008-01,-225.105,
2008-04,416.789,
2008-07,-191.110,
2008-10,-278.448,
2009-01,-626.394,
2009-04,-615.030,
2009-07,-2015.216,
2009-10,-632.503,
2010-01,-636.073,
2010-04,-220.377,
2010-07,-164.290,
2010-10,-882.960,
2011-01,-265.800,
2011-04,-211.692,
2011-07,-34.626,
2011-10,63.932,
2012-01,-897.569,
2012-04,52.936,
2012-07,64.093,
2012-10,432.567,
2013-01,-205.943,
2013-04,-341.112,
2013-07,349.827,
2013-10,175.062,
2014-01,386.945,
2014-04,347.927,
2014-07,-173.213,
2014-10,-76.848,
