"",BBK01.OEBL02I,BBK01.OEBL02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:06,
2002-01,6.803,
2002-04,7.660,
2002-07,7.687,
2002-10,7.722,
2003-01,7.699,
2003-04,7.940,
2003-07,5.412,
2003-10,5.595,
2004-01,6.036,
2004-04,6.125,
2004-07,5.957,
2004-10,5.912,
2005-01,7.895,
2005-04,8.089,
2005-07,8.240,
2005-10,8.591,
2006-01,8.569,
2006-04,8.917,
2006-07,8.760,
2006-10,11.083,
2007-01,11.237,
2007-04,11.919,
2007-07,12.103,
2007-10,12.499,
2008-01,13.211,
2008-04,13.115,
2008-07,12.881,
2008-10,18.899,
2009-01,21.195,
2009-04,21.878,
2009-07,22.503,
2009-10,24.856,
2010-01,28.693,
2010-04,28.851,
2010-07,29.148,
2010-10,30.662,
2011-01,32.414,
2011-04,32.952,
2011-07,34.006,
2011-10,36.345,
2012-01,40.119,
2012-04,42.947,
2012-07,43.239,
2012-10,44.227,
2013-01,44.681,
2013-04,45.339,
2013-07,45.726,
2013-10,46.058,
2014-01,47.199,
2014-04,47.627,
2014-07,47.018,
