"",BBFB1.Q.N.DE.W00200.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:17,
1991-01,11007.694,
1991-04,13572.150,
1991-07,12389.685,
1991-10,12688.207,
1992-01,11987.140,
1992-04,13104.859,
1992-07,12993.951,
1992-10,12688.316,
1993-01,14010.952,
1993-04,14545.902,
1993-07,13949.564,
1993-10,13812.336,
1994-01,14732.034,
1994-04,15158.996,
1994-07,15101.392,
1994-10,15864.549,
1995-01,15954.230,
1995-04,16270.835,
1995-07,16327.197,
1995-10,16718.560,
1996-01,14588.247,
1996-04,16453.128,
1996-07,18589.121,
1996-10,16916.561,
1997-01,17636.294,
1997-04,20255.821,
1997-07,18708.179,
1997-10,20549.927,
1998-01,18597.368,
1998-04,22461.968,
1998-07,21768.759,
1998-10,22652.229,
1999-01,22153.607,
1999-04,25432.246,
1999-07,24396.129,
1999-10,28224.065,
2000-01,25756.437,
2000-04,31137.065,
2000-07,31565.112,
2000-10,33378.177,
2001-01,28419.482,
2001-04,30604.927,
2001-07,27099.905,
2001-10,26900.089,
2002-01,29595.191,
2002-04,33368.058,
2002-07,30943.595,
2002-10,30572.056,
2003-01,28951.246,
2003-04,33758.164,
2003-07,29817.634,
2003-10,29803.767,
2004-01,28261.990,
2004-04,32311.984,
2004-07,27916.148,
2004-10,28732.339,
2005-01,31103.797,
2005-04,37291.886,
2005-07,32879.608,
2005-10,33407.752,
2006-01,33803.332,
2006-04,43229.717,
2006-07,36084.318,
2006-10,38187.108,
2007-01,44088.807,
2007-04,59063.437,
2007-07,44352.516,
2007-10,41935.954,
2008-01,39413.463,
2008-04,51259.874,
2008-07,34179.288,
2008-10,31646.438,
2009-01,28482.209,
2009-04,38388.223,
2009-07,25274.012,
2009-10,26270.090,
2010-01,30063.046,
2010-04,44023.521,
2010-07,32935.486,
2010-10,33818.599,
2011-01,32447.934,
2011-04,46951.046,
2011-07,31275.938,
2011-10,31165.259,
2012-01,31149.170,
2012-04,42980.739,
2012-07,30021.462,
2012-10,29650.068,
2013-01,29949.837,
2013-04,39836.650,
2013-07,30029.642,
2013-10,28441.111,
2014-01,28529.587,Provisional value
2014-04,42929.534,Provisional value
2014-07,28464.639,Provisional value
