"",BBFB1.Q.N.DE.W00200.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:22,
1991-01,-4137.022,
1991-04,-4895.452,
1991-07,-4323.460,
1991-10,-1202.762,
1992-01,-3168.816,
1992-04,-4900.900,
1992-07,-4084.130,
1992-10,-4228.158,
1993-01,-1576.445,
1993-04,-4257.026,
1993-07,-8181.483,
1993-10,-2369.092,
1994-01,-3956.397,
1994-04,-5197.987,
1994-07,-10176.704,
1994-10,-5173.316,
1995-01,-5797.367,
1995-04,-5315.285,
1995-07,-9818.575,
1995-10,-2710.390,
1996-01,-2682.241,
1996-04,-5967.436,
1996-07,-8400.854,
1996-10,-615.065,
1997-01,-6531.229,
1997-04,-3695.874,
1997-07,-7645.686,
1997-10,2849.160,
1998-01,-4333.857,
1998-04,-1755.790,
1998-07,-8329.674,
1998-10,1475.748,
1999-01,-5212.555,
1999-04,-2838.889,
1999-07,-10021.767,
1999-10,-350.076,
2000-01,1823.716,
2000-04,-2270.519,
2000-07,-12153.093,
2000-10,-1328.680,
2001-01,1273.759,
2001-04,-4933.473,
2001-07,-3081.059,
2001-10,7462.064,
2002-01,8813.244,
2002-04,5086.208,
2002-07,8826.448,
2002-10,14439.722,
2003-01,8099.455,
2003-04,2290.899,
2003-07,4201.886,
2003-10,17425.169,
2004-01,22485.190,
2004-04,23122.605,
2004-07,18511.186,
2004-10,31690.826,
2005-01,28251.832,
2005-04,26437.355,
2005-07,21542.542,
2005-10,32345.252,
2006-01,34321.369,
2006-04,31548.219,
2006-07,28038.455,
2006-10,46066.613,
2007-01,41966.896,
2007-04,34117.980,
2007-07,34495.555,
2007-10,49863.754,
2008-01,42247.348,
2008-04,32874.162,
2008-07,27481.159,
2008-10,31278.300,
2009-01,26469.614,
2009-04,23297.676,
2009-07,30110.532,
2009-10,42226.124,
2010-01,29973.840,
2010-04,24477.707,
2010-07,24657.441,
2010-10,40312.803,
2011-01,35841.907,
2011-04,24582.086,
2011-07,31463.136,
2011-10,41912.525,
2012-01,37797.261,
2012-04,27197.758,
2012-07,33065.142,
2012-10,40931.153,
2013-01,33782.029,
2013-04,28275.477,
2013-07,25790.060,
2013-10,40496.825,
2014-01,36670.123,Provisional value
2014-04,26423.583,Provisional value
2014-07,36722.315,Provisional value
