"",BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:59,
1991-01,18511.766,
1991-02,22776.364,
1991-03,24647.306,
1991-04,18980.628,
1991-05,15979.879,
1991-06,17629.329,
1991-07,18494.366,
1991-08,19491.204,
1991-09,13967.741,
1991-10,18221.235,
1991-11,15661.412,
1991-12,18129.702,
1992-01,29559.543,
1992-02,23501.257,
1992-03,25514.469,
1992-04,21258.932,
1992-05,17648.148,
1992-06,21953.220,
1992-07,25567.252,
1992-08,24307.268,
1992-09,40395.216,
1992-10,51598.072,
1992-11,50621.355,
1992-12,50552.041,
1993-01,51884.359,
1993-02,64094.719,
1993-03,73667.210,
1993-04,55815.539,
1993-05,60175.069,
1993-06,69368.928,
1993-07,86741.840,
1993-08,85552.447,
1993-09,93509.975,
1993-10,96786.673,
1993-11,101427.968,
1993-12,99655.941,
1994-01,87291.246,
1994-02,88830.580,
1994-03,121573.202,
1994-04,80363.917,
1994-05,85147.382,
1994-06,101780.364,
1994-07,80114.473,
1994-08,76128.199,
1994-09,94862.694,
1994-10,71401.980,
1994-11,64802.540,
1994-12,64982.214,
1995-01,77805.903,
1995-02,87405.939,
1995-03,111011.973,
1995-04,73903.814,
1995-05,99687.221,
1995-06,104433.801,
1995-07,80780.538,
1995-08,81225.134,
1995-09,101042.889,
1995-10,94808.814,
1995-11,98004.314,
1995-12,96507.768,
1996-01,118700.429,
1996-02,110612.994,
1996-03,113021.692,
1996-04,87363.497,
1996-05,87067.359,
1996-06,96361.924,
1996-07,101315.100,
1996-08,100397.255,
1996-09,116454.694,
1996-10,110802.820,
1996-11,100889.134,
1996-12,101168.823,
1997-01,132979.175,
1997-02,119431.117,
1997-03,127509.519,
1997-04,129158.497,
1997-05,105985.414,
1997-06,131916.924,
1997-07,147376.208,
1997-08,135841.224,
1997-09,144783.554,
1997-10,166013.168,
1997-11,120083.286,
1997-12,133513.987,
1998-01,171211.646,
1998-02,134228.617,
1998-03,176221.401,
1998-04,158568.106,
1998-05,122512.497,
1998-06,157304.147,
1998-07,155339.323,
1998-08,163149.162,
1998-09,200207.434,
1998-10,178577.652,
1998-11,134380.980,
1998-12,127433.055,
1999-01,130980.940,
1999-02,126486.018,
1999-03,180280.946,
1999-04,136751.905,
1999-05,130032.743,
1999-06,153427.604,
1999-07,144602.105,
1999-08,117535.262,
1999-09,151049.120,
1999-10,154446.940,
1999-11,154879.941,
1999-12,144714.221,
2000-01,173321.845,
2000-02,291984.200,
2000-03,237962.926,
2000-04,140711.091,
2000-05,166891.025,
2000-06,180197.615,
2000-07,151407.176,
2000-08,157761.399,
2000-09,196160.231,
2000-10,191833.721,
2000-11,192039.706,
2000-12,189285.819,
2001-01,236643.978,
2001-02,219032.021,
2001-03,279710.899,
2001-04,207827.333,
2001-05,206938.422,
2001-06,241991.559,
2001-07,211611.975,
2001-08,188656.472,
2001-09,211665.424,
2001-10,198899.858,
2001-11,219897.864,
2001-12,190321.834,
2002-01,227172.125,
2002-02,183291.252,
2002-03,196533.121,
2002-04,196937.227,
2002-05,191760.336,
2002-06,186187.354,
2002-07,212039.288,
2002-08,193055.169,
2002-09,194098.812,
2002-10,228832.191,
2002-11,195095.669,
2002-12,205051.285,
2003-01,239981.170,
2003-02,198458.910,
2003-03,246255.663,
2003-04,218102.217,
2003-05,229287.028,
2003-06,269086.104,
2003-07,256159.975,
2003-08,236619.211,
2003-09,260948.731,
2003-10,244550.143,
2003-11,236174.812,
2003-12,210683.236,
2004-01,265083.351,
2004-02,255080.996,
2004-03,309427.768,
2004-04,274841.626,
2004-05,280840.816,
2004-06,270147.897,
2004-07,219851.279,
2004-08,185624.068,
2004-09,234450.887,
2004-10,199855.517,
2004-11,237918.297,
2004-12,245571.006,
2005-01,269285.510,
2005-02,240993.134,
2005-03,276952.374,
2005-04,302966.041,
2005-05,284997.597,
2005-06,321475.177,
2005-07,240351.979,
2005-08,249461.038,
2005-09,267686.933,
2005-10,278717.966,
2005-11,265353.300,
2005-12,264224.241,
2006-01,295403.197,
2006-02,267289.624,
2006-03,324643.051,
2006-04,335095.583,
2006-05,436443.550,
2006-06,374911.153,
2006-07,231342.267,
2006-08,267066.853,
2006-09,312910.338,
2006-10,265606.207,
2006-11,277787.916,
2006-12,311429.832,
2007-01,327394.139,
2007-02,318034.098,
2007-03,419144.568,
2007-04,381603.532,
2007-05,441332.132,
2007-06,413344.400,
2007-07,375697.970,
2007-08,422551.860,
2007-09,371840.314,
2007-10,358468.085,
2007-11,369313.038,
2007-12,339722.223,
2008-01,486586.453,
2008-02,405028.624,
2008-03,406818.566,
2008-04,454364.453,
2008-05,419456.895,
2008-06,431866.739,
2008-07,404828.516,
2008-08,341949.297,
2008-09,436428.627,
2008-10,484775.791,
2008-11,270976.742,
2008-12,297942.249,
2009-01,282736.129,
2009-02,234805.311,
2009-03,286553.664,
2009-04,273208.127,
2009-05,274051.619,
2009-06,272332.270,
2009-07,248601.664,
2009-08,246675.739,
2009-09,297051.811,
2009-10,250161.446,
2009-11,260460.553,
2009-12,281838.061,
2010-01,252678.846,
2010-02,231316.691,
2010-03,293745.730,
2010-04,372647.742,
2010-05,432937.972,
2010-06,372719.040,
2010-07,232853.807,
2010-08,205005.629,
2010-09,269094.567,
2010-10,222023.770,
2010-11,221171.257,
2010-12,295710.110,
2011-01,267991.410,
2011-02,220318.426,
2011-03,305056.017,
2011-04,313860.259,
2011-05,390474.480,
2011-06,308900.648,
2011-07,274201.035,
2011-08,309624.206,
2011-09,306176.111,
2011-10,269878.322,
2011-11,260183.449,
2011-12,264500.045,
2012-01,283820.466,
2012-02,233042.833,
2012-03,309994.941,
2012-04,274031.923,
2012-05,281788.016,
2012-06,277589.130,
2012-07,269252.587,
2012-08,209818.764,
2012-09,266989.905,
2012-10,250233.899,
2012-11,212891.337,
2012-12,223934.088,
2013-01,280563.484,
2013-02,238324.307,
2013-03,291502.434,
2013-04,321857.874,
2013-05,304558.718,
2013-06,314133.441,
2013-07,295059.957,
2013-08,214624.031,
2013-09,249509.755,
2013-10,283382.024,
2013-11,248276.819,
2013-12,252762.813,
2014-01,291084.573,
2014-02,254122.946,Provisional value
2014-03,296907.703,Provisional value
2014-04,302661.404,Provisional value
2014-05,307753.309,Provisional value
2014-06,247867.373,Provisional value
2014-07,256550.621,Provisional value
2014-08,214497.437,Provisional value
2014-09,264854.089,
2014-10,266663.563,
2014-11,230102.701,
2014-12,269965.337,Provisional value
