"",BBFB1.Q.N.DE.HU.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:00,
1991-01,7.671,
1991-04,13.468,
1991-07,18.475,
1991-10,16.055,
1992-01,14.496,
1992-04,21.737,
1992-07,21.776,
1992-10,20.410,
1993-01,27.447,
1993-04,41.672,
1993-07,31.020,
1993-10,26.162,
1994-01,26.271,
1994-04,19.083,
1994-07,22.738,
1994-10,15.102,
1995-01,13.276,
1995-04,16.023,
1995-07,20.482,
1995-10,18.713,
1996-01,13.452,
1996-04,17.721,
1996-07,29.985,
1996-10,16.576,
1997-01,15.420,
1997-04,24.257,
1997-07,19.839,
1997-10,21.173,
1998-01,14.643,
1998-04,18.824,
1998-07,21.612,
1998-10,20.464,
1999-01,17.305,
1999-04,17.576,
1999-07,26.217,
1999-10,29.975,
2000-01,25.699,
2000-04,32.042,
2000-07,34.776,
2000-10,38.553,
2001-01,40.224,
2001-04,45.766,
2001-07,48.091,
2001-10,36.863,
2002-01,35.547,
2002-04,43.996,
2002-07,58.694,
2002-10,72.536,
2003-01,49.399,
2003-04,98.517,
2003-07,86.562,
2003-10,35.333,
2004-01,31.809,
2004-04,33.925,
2004-07,33.087,
2004-10,34.550,
2005-01,32.821,
2005-04,42.968,
2005-07,47.208,
2005-10,41.403,
2006-01,35.897,
2006-04,45.258,
2006-07,50.525,
2006-10,56.408,
2007-01,54.613,
2007-04,53.956,
2007-07,51.691,
2007-10,47.932,
2008-01,41.196,
2008-04,41.290,
2008-07,40.230,
2008-10,29.177,
2009-01,23.631,
2009-04,27.744,
2009-07,28.389,
2009-10,39.035,
2010-01,46.252,
2010-04,54.182,
2010-07,50.073,
2010-10,41.926,
2011-01,24.370,
2011-04,30.902,
2011-07,33.568,
2011-10,36.908,
2012-01,32.021,
2012-04,42.954,
2012-07,48.162,
2012-10,56.037,
2013-01,57.629,
2013-04,67.971,
2013-07,60.322,
2013-10,59.867,
2014-01,58.066,Provisional value
2014-04,71.924,Provisional value
2014-07,66.105,Provisional value
