"",BBDA1.M.DE.Y.IM.S.A.S1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.S1.A.V.ABA.A_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / Asia / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:34,
1993-01,3.76,
1993-02,4.10,
1993-03,3.65,
1993-04,3.98,
1993-05,3.83,
1993-06,3.84,
1993-07,4.10,
1993-08,4.20,
1993-09,4.11,
1993-10,4.10,
1993-11,4.03,
1993-12,4.06,
1994-01,4.07,
1994-02,4.24,
1994-03,4.36,
1994-04,3.81,
1994-05,4.39,
1994-06,3.80,
1994-07,4.22,
1994-08,4.27,
1994-09,4.03,
1994-10,4.08,
1994-11,4.12,
1994-12,4.61,
1995-01,3.73,
1995-02,4.24,
1995-03,4.23,
1995-04,4.01,
1995-05,4.24,
1995-06,4.41,
1995-07,4.23,
1995-08,4.25,
1995-09,4.39,
1995-10,4.44,
1995-11,4.51,
1995-12,4.50,
1996-01,4.25,
1996-02,4.36,
1996-03,4.60,
1996-04,4.37,
1996-05,4.31,
1996-06,4.36,
1996-07,4.38,
1996-08,4.30,
1996-09,4.43,
1996-10,4.26,
1996-11,4.45,
1996-12,4.31,
1997-01,4.88,
1997-02,4.72,
1997-03,4.56,
1997-04,4.71,
1997-05,4.80,
1997-06,4.74,
1997-07,5.01,
1997-08,5.06,
1997-09,5.18,
1997-10,5.19,
1997-11,5.09,
1997-12,5.09,
1998-01,5.53,
1998-02,5.26,
1998-03,5.22,
1998-04,5.55,
1998-05,4.96,
1998-06,5.51,
1998-07,5.21,
1998-08,5.15,
1998-09,5.13,
1998-10,5.09,
1998-11,5.02,
1998-12,5.15,
1999-01,5.08,
1999-02,5.26,
1999-03,5.22,
1999-04,5.35,
1999-05,5.46,
1999-06,5.35,
1999-07,5.96,
1999-08,5.60,
1999-09,5.94,
1999-10,5.71,
1999-11,6.04,
1999-12,6.24,
2000-01,6.34,
2000-02,6.40,
2000-03,7.15,
2000-04,6.85,
2000-05,7.69,
2000-06,7.67,
2000-07,7.57,
2000-08,7.75,
2000-09,7.69,
2000-10,8.19,
2000-11,7.88,
2000-12,7.86,
2001-01,7.56,
2001-02,7.41,
2001-03,7.12,
2001-04,7.33,
2001-05,6.89,
2001-06,7.07,
2001-07,6.95,
2001-08,7.01,
2001-09,6.75,
2001-10,6.70,
2001-11,6.99,
2001-12,6.76,
2002-01,6.13,
2002-02,6.63,
2002-03,6.75,
2002-04,6.70,
2002-05,6.39,
2002-06,6.80,
2002-07,6.57,
2002-08,7.03,
2002-09,6.72,
2002-10,6.81,
2002-11,6.83,
2002-12,6.86,
2003-01,7.39,
2003-02,6.98,
2003-03,7.14,
2003-04,7.04,
2003-05,6.71,
2003-06,7.29,
2003-07,6.66,
2003-08,6.82,
2003-09,6.89,
2003-10,7.20,
2003-11,7.37,
2003-12,7.52,
2004-01,7.26,
2004-02,7.84,
2004-03,7.18,
2004-04,7.89,
2004-05,8.23,
2004-06,7.93,
2004-07,8.38,
2004-08,8.25,
2004-09,8.53,
2004-10,8.66,
2004-11,9.16,
2004-12,8.19,
2005-01,8.38,
2005-02,7.98,
2005-03,8.02,
2005-04,8.47,
2005-05,9.16,
2005-06,8.93,
2005-07,9.33,
2005-08,9.05,
2005-09,9.33,
2005-10,9.41,
2005-11,9.80,
2005-12,10.90,
2006-01,10.23,
2006-02,10.66,
