"",BBSF2.M.1.S.00000.IMM01.I.F.BGG.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.BGG.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Participations in real estate companies / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:47,
2009-09,505,
2009-10,530,
2009-11,513,
2009-12,581,
2010-01,617,
2010-02,618,
2010-03,620,
2010-04,621,
2010-05,680,
2010-06,679,
2010-07,682,
2010-08,670,
2010-09,693,
2010-10,711,
2010-11,729,
2010-12,766,
2011-01,777,
2011-02,776,
2011-03,845,
2011-04,862,
2011-05,883,
2011-06,914,
2011-07,922,
2011-08,1002,
2011-09,988,
2011-10,1002,
2011-11,1007,
2011-12,1016,
2012-01,1204,
2012-02,1207,
2012-03,1277,
2012-04,1277,
2012-05,1322,
2012-06,1399,
2012-07,1423,
2012-08,1449,
2012-09,1444,
2012-10,1402,
2012-11,1407,
2012-12,1374,
2013-01,1529,
2013-02,1639,
2013-03,1921,
2013-04,1730,
2013-05,1770,
2013-06,2353,
2013-07,2394,
2013-08,2428,
2013-09,2484,
2013-10,2484,
2013-11,2430,
2013-12,3037,
2014-01,3157,
2014-02,3164,
2014-03,3290,
2014-04,3141,
2014-05,3289,
2014-06,3313,
2014-07,3585,
2014-08,3857,
2014-09,3284,
2014-10,3310,
2014-11,3772,
