"",BBK01.OELB08L,BBK01.OELB08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:56,
2002-01,23.239,
2002-04,23.409,
2002-07,23.576,
2002-10,23.860,
2003-01,24.119,
2003-04,24.373,
2003-07,24.627,
2003-10,24.991,
2004-01,24.964,
2004-04,25.191,
2004-07,25.352,
2004-10,25.596,
2005-01,25.554,
2005-04,25.714,
2005-07,25.950,
2005-10,26.196,
2006-01,26.269,
2006-04,26.428,
2006-07,26.619,
2006-10,26.702,
2007-01,26.693,
2007-04,26.775,
2007-07,26.919,
2007-10,26.911,
2008-01,26.802,
2008-04,26.980,
2008-07,27.063,
2008-10,27.228,
2009-01,27.230,
2009-04,27.497,
2009-07,27.854,
2009-10,28.168,
2010-01,28.278,
2010-04,28.661,
2010-07,28.789,
2010-10,29.151,
2011-01,29.089,
2011-04,29.362,
2011-07,29.577,
2011-10,29.895,
2012-01,30.058,
2012-04,32.033,
2012-07,32.414,
2012-10,32.730,
2013-01,32.899,
2013-04,33.206,
2013-07,33.621,
2013-10,33.859,
2014-01,33.978,
2014-04,34.264,
2014-07,34.673,
