"",BBK01.OEAH80M,BBK01.OEAH80M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:05,
2002-01,0.071,
2002-04,0.071,
2002-07,0.071,
2002-10,0.071,
2003-01,0.069,
2003-04,0.062,
2003-07,0.062,
2003-10,0.062,
2004-01,0.063,
2004-04,0.062,
2004-07,0.059,
2004-10,0.063,
2005-01,0.062,
2005-04,0.076,
2005-07,0.077,
2005-10,0.076,
2006-01,0.077,
2006-04,0.072,
2006-07,0.075,
2006-10,0.070,
2007-01,0.062,
2007-04,0.063,
2007-07,0.059,
2007-10,0.049,
2008-01,0.047,
2008-04,0.047,
2008-07,0.051,
2008-10,0.068,
2009-01,0.073,
2009-04,0.085,
2009-07,0.087,
2009-10,0.087,
2010-01,0.096,
2010-04,0.099,
2010-07,0.097,
2010-10,0.099,
2011-01,0.089,
2011-04,0.094,
2011-07,0.095,
2011-10,0.084,
2012-01,0.083,
2012-04,0.080,
2012-07,0.097,
2012-10,0.090,
2013-01,0.089,
2013-04,0.087,
2013-07,0.083,
2013-10,0.068,
2014-01,0.064,
2014-04,0.053,
2014-07,0.043,
