"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.AT.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.AT.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Austria,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:35,
2009-09,15580,
2009-10,15567,
2009-11,15637,
2009-12,15551,
2010-01,14973,
2010-02,15085,
2010-03,15234,
2010-04,15395,
2010-05,15491,
2010-06,15859,
2010-07,15798,
2010-08,16263,
2010-09,16323,
2010-10,16388,
2010-11,16365,
2010-12,16378,
2011-01,15901,
2011-02,16140,
2011-03,15722,
2011-04,15571,
2011-05,15715,
2011-06,15736,
2011-07,16462,
2011-08,16449,
2011-09,16644,
2011-10,16935,
2011-11,16378,
2011-12,16988,
2012-01,17569,
2012-02,18450,
2012-03,18618,
2012-04,18957,
2012-05,19642,
2012-06,19942,
2012-07,20045,
2012-08,20018,
2012-09,20229,
2012-10,20352,
2012-11,20516,
2012-12,20765,
2013-01,20532,
2013-02,20518,
2013-03,20559,
2013-04,21410,
2013-05,21233,
2013-06,20357,
2013-07,20708,
2013-08,20410,
2013-09,20562,
2013-10,20861,
2013-11,21323,
2013-12,21087,
2014-01,21659,
2014-02,21337,
2014-03,21339,
2014-04,21448,
2014-05,22258,
2014-06,22501,
2014-07,22171,
2014-08,22610,
2014-09,22317,
2014-10,21829,
2014-11,22409,
