"",BBFN1.M.DE.N.1.A.W00200.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1988-05,1.150,
1988-06,1.144,
1988-07,1.021,
1988-08,1.017,
1988-09,0.971,
1988-10,0.856,
1988-11,0.856,
1988-12,0.815,
1989-01,0.812,
1989-02,0.813,
1989-03,0.817,
1989-04,0.810,
1989-05,0.844,
1989-06,0.852,
1989-07,0.842,
1989-08,0.845,
1989-09,0.858,
1989-10,0.890,
1989-11,0.922,
1989-12,0.958,
1990-01,1.031,
1990-02,1.024,
1990-03,0.998,
1990-04,1.015,
1990-05,1.107,
1990-06,1.188,
1990-07,1.371,
1990-08,1.380,
1990-09,1.382,
1990-10,1.346,
1990-11,1.349,
1990-12,1.195,
1991-01,1.240,
1991-02,1.234,
1991-03,1.281,
1991-04,1.426,
1991-05,1.443,
1991-06,1.359,
1991-07,1.451,
1991-08,1.455,
1991-09,1.338,
1991-10,1.288,
1991-11,1.296,
1991-12,1.297,
1992-01,1.317,
1992-02,1.172,
1992-03,1.119,
1992-04,1.113,
1992-05,1.095,
1992-06,1.063,
1992-07,1.005,
1992-08,1.015,
1992-09,1.000,
1992-10,0.947,
1992-11,1.069,
1992-12,1.053,
1993-01,0.918,
1993-02,0.896,
1993-03,0.809,
1993-04,0.809,
1993-05,0.794,
1993-06,0.797,
1993-07,0.790,
1993-08,1.038,
1993-09,1.032,
1993-10,1.058,
1993-11,1.164,
1993-12,1.165,
1994-01,1.100,
1994-02,1.087,
1994-03,1.097,
1994-04,1.027,
1994-05,0.819,
1994-06,0.826,
1994-07,0.962,
1994-08,0.952,
1994-09,1.045,
1994-10,1.050,
1994-11,1.085,
1994-12,1.065,
1995-01,0.824,
1995-02,1.022,
1995-03,0.987,
1995-04,1.000,
1995-05,0.989,
1995-06,1.259,
1995-07,1.368,
1995-08,1.576,
1995-09,2.465,
1995-10,2.496,
1995-11,2.484,
1995-12,2.168,
1996-01,2.147,
1996-02,2.016,
1996-03,1.969,
1996-04,1.959,
1996-05,1.947,
1996-06,1.886,
1996-07,1.888,
1996-08,1.893,
1996-09,1.871,
1996-10,1.868,
1996-11,3.368,
1996-12,3.295,
1997-01,3.320,
1997-02,3.363,
1997-03,3.386,
1997-04,3.399,
1997-05,3.412,
1997-06,3.375,
1997-07,3.423,
1997-08,3.383,
1997-09,3.398,
1997-10,3.434,
1997-11,3.460,
1997-12,3.365,
1998-01,3.466,
1998-02,3.473,
1998-03,3.506,
1998-04,3.544,
1998-05,2.833,
1998-06,2.831,
1998-07,2.984,
1998-08,2.993,
1998-09,2.984,
1998-10,3.207,
1998-11,2.293,
1998-12,2.822,
1999-01,3.000,
1999-02,3.219,
1999-03,3.283,
1999-04,3.502,
1999-05,3.470,
1999-06,4.930,
1999-07,4.957,
1999-08,4.962,
1999-09,4.165,
1999-10,4.222,
1999-11,4.085,
1999-12,4.138,
2000-01,4.189,
2000-02,4.320,
2000-03,4.594,
2000-04,4.838,
2000-05,4.893,
2000-06,4.249,
2000-07,4.169,
2000-08,4.365,
2000-09,4.372,
2000-10,4.427,
2000-11,4.517,
2000-12,3.227,
2001-01,3.237,
2001-02,3.235,
2001-03,3.274,
2001-04,3.307,
2001-05,3.589,
2001-06,3.568,
2001-07,3.590,
2001-08,3.726,
2001-09,3.757,
2001-10,4.363,
2001-11,4.439,
2001-12,4.505,
2002-01,4.624,
2002-02,4.563,
2002-03,4.704,
2002-04,4.707,
2002-05,4.767,
2002-06,4.805,
2002-07,4.816,
2002-08,4.813,
2002-09,4.668,
2002-10,4.735,
2002-11,4.652,
2002-12,4.718,
2003-01,5.107,
2003-02,5.319,
2003-03,5.447,
2003-04,6.004,
2003-05,6.172,
2003-06,6.594,
2003-07,6.805,
2003-08,6.617,
2003-09,6.728,
2003-10,7.070,
2003-11,6.949,
2003-12,7.415,
2004-01,7.664,
2004-02,7.793,
2004-03,8.193,
2004-04,8.625,
2004-05,9.028,
2004-06,8.992,
2004-07,9.488,
2004-08,9.722,
2004-09,10.360,
2004-10,10.691,
2004-11,11.026,
2004-12,11.348,
2005-01,11.622,
2005-02,12.234,
2005-03,12.546,
2005-04,13.052,
2005-05,13.128,
2005-06,14.090,
2005-07,13.987,
2005-08,13.875,
2005-09,14.156,
2005-10,14.390,
2005-11,14.906,
2005-12,15.371,
2006-01,16.486,
2006-02,18.060,
2006-03,19.303,
2006-04,20.475,
2006-05,21.056,
2006-06,24.539,
2006-07,25.760,
2006-08,28.445,
2006-09,29.560,
2006-10,31.684,
2006-11,33.639,
2006-12,36.426,
2007-01,39.043,
2007-02,40.861,
2007-03,45.058,
2007-04,48.826,
2007-05,52.571,
2007-06,55.442,
2007-07,55.850,
2007-08,59.534,
2007-09,63.468,
2007-10,70.328,
2007-11,77.993,
2007-12,79.094,
2008-01,81.337,
2008-02,84.931,
2008-03,83.433,
2008-04,86.135,
2008-05,88.765,
2008-06,87.994,
2008-07,92.159,
2008-08,92.949,
2008-09,95.117,
2008-10,99.765,
2008-11,101.514,
2008-12,93.951,
2009-01,93.074,
2009-02,93.709,
2009-03,94.149,
2009-04,97.069,
2009-05,98.285,
2009-06,90.977,
2009-07,97.127,
2009-08,102.920,
2009-09,102.875,
2009-10,108.250,
2009-11,112.834,
2009-12,107.362,
2010-01,110.830,
2010-02,116.488,
2010-03,116.064,
2010-04,123.810,
2010-05,124.835,
2010-06,123.574,
2010-07,129.892,
2010-08,136.513,
2010-09,136.645,
2010-10,141.456,
2010-11,146.340,
2010-12,144.807,
2011-01,151.441,
2011-02,146.068,
2011-03,143.935,
2011-04,145.205,
2011-05,151.325,
2011-06,144.857,
2011-07,147.777,
2011-08,146.830,
2011-09,143.288,
2011-10,130.823,
2011-11,128.143,
2011-12,120.423,
2012-01,121.157,
2012-02,122.115,
2012-03,120.702,
2012-04,121.720,
2012-05,122.406,
2012-06,118.135,
2012-07,119.714,
2012-08,121.282,
2012-09,120.822,
2012-10,121.889,
2012-11,122.834,
2012-12,121.974,
2013-01,119.988,
2013-02,121.048,
2013-03,122.053,
2013-04,122.469,
2013-05,124.054,
2013-06,122.423,
2013-07,123.479,
2013-08,124.931,
2013-09,127.059,
2013-10,127.924,
2013-11,129.078,
2013-12,130.925,
2014-01,129.994,
2014-02,130.699,
2014-03,131.641,
2014-04,133.088,
2014-05,136.196,
2014-06,136.912,
2014-07,136.324,
2014-08,137.427,
2014-09,137.449,
2014-10,137.221,
2014-11,137.311,
2014-12,137.086,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
