"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.US.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.US.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / United States,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:03,
2009-09,47512,
2009-10,47008,
2009-11,47624,
2009-12,49185,
2010-01,49751,
2010-02,50042,
2010-03,51153,
2010-04,52793,
2010-05,53872,
2010-06,53576,
2010-07,52339,
2010-08,53664,
2010-09,52984,
2010-10,53168,
2010-11,54868,
2010-12,54538,
2011-01,53462,
2011-02,54008,
2011-03,53084,
2011-04,52328,
2011-05,54074,
2011-06,53634,
2011-07,54377,
2011-08,52618,
2011-09,52158,
2011-10,52358,
2011-11,52671,
2011-12,55200,
2012-01,56132,
2012-02,56504,
2012-03,56639,
2012-04,57710,
2012-05,59878,
2012-06,59531,
2012-07,61943,
2012-08,61651,
2012-09,62086,
2012-10,62189,
2012-11,64035,
2012-12,63907,
2013-01,64276,
2013-02,67393,
2013-03,70120,
2013-04,70544,
2013-05,71350,
2013-06,70345,
2013-07,73117,
2013-08,73313,
2013-09,74228,
2013-10,75458,
2013-11,80190,
2013-12,79884,
2014-01,81339,
2014-02,79404,
2014-03,80318,
2014-04,81267,
2014-05,84111,
2014-06,86208,
2014-07,87883,
2014-08,91659,
2014-09,96396,
2014-10,99222,
2014-11,103715,
