"",BBFN1.M.DE.N.1.L.R12.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:31:09,
1994-11,.,No value available
1994-12,1.117,
1995-01,1.024,
1995-02,0.800,
1995-03,1.012,
1995-04,0.970,
1995-05,0.962,
1995-06,0.993,
1995-07,1.018,
1995-08,1.051,
1995-09,1.089,
1995-10,1.107,
1995-11,1.143,
1995-12,1.205,
1996-01,1.214,
1996-02,1.198,
1996-03,1.113,
1996-04,1.115,
1996-05,1.142,
1996-06,1.120,
1996-07,1.161,
1996-08,1.234,
1996-09,1.273,
1996-10,1.257,
1996-11,1.225,
1996-12,1.355,
1997-01,1.257,
1997-02,1.195,
1997-03,1.278,
1997-04,1.311,
1997-05,1.248,
1997-06,1.352,
1997-07,1.296,
1997-08,1.506,
1997-09,1.351,
1997-10,1.319,
1997-11,1.418,
1997-12,1.433,
1998-01,1.402,
1998-02,1.299,
1998-03,1.375,
1998-04,1.393,
1998-05,1.392,
1998-06,1.320,
1998-07,1.312,
1998-08,1.317,
1998-09,1.399,
1998-10,1.355,
1998-11,1.315,
1998-12,1.269,
1999-01,1.223,
1999-02,1.164,
1999-03,1.372,
1999-04,1.357,
1999-05,1.362,
1999-06,1.520,
1999-07,1.546,
1999-08,1.602,
1999-09,1.700,
1999-10,1.690,
1999-11,1.566,
1999-12,1.867,
2000-01,1.884,
2000-02,1.850,
2000-03,1.827,
2000-04,1.904,
2000-05,2.092,
2000-06,2.223,
2000-07,2.107,
2000-08,2.101,
2000-09,2.372,
2000-10,1.802,
2000-11,1.865,
2000-12,1.876,
2001-01,1.831,
2001-02,1.854,
2001-03,1.843,
2001-04,1.943,
2001-05,1.959,
2001-06,1.914,
2001-07,1.774,
2001-08,1.704,
2001-09,1.715,
2001-10,1.596,
2001-11,1.728,
2001-12,1.755,
2002-01,1.589,
2002-02,1.591,
2002-03,2.083,
2002-04,1.707,
2002-05,1.661,
2002-06,1.692,
2002-07,2.083,
2002-08,1.932,
2002-09,1.904,
2002-10,1.490,
2002-11,1.638,
2002-12,1.891,
2003-01,1.936,
2003-02,1.813,
2003-03,2.046,
2003-04,2.058,
2003-05,1.740,
2003-06,1.791,
2003-07,1.901,
2003-08,1.712,
2003-09,1.906,
2003-10,1.981,
2003-11,1.836,
2003-12,1.934,
2004-01,1.672,
2004-02,1.630,
2004-03,2.136,
2004-04,1.961,
2004-05,1.887,
2004-06,1.870,
2004-07,1.827,
2004-08,1.593,
2004-09,1.762,
2004-10,1.445,
2004-11,1.701,
2004-12,1.986,
2005-01,1.805,
2005-02,1.795,
2005-03,1.935,
2005-04,1.937,
2005-05,2.092,
2005-06,2.093,
2005-07,2.050,
2005-08,1.957,
2005-09,2.041,
2005-10,1.937,
2005-11,1.565,
2005-12,1.720,
2006-01,1.650,
2006-02,1.584,
2006-03,1.827,
2006-04,1.743,
2006-05,1.923,
2006-06,1.820,
2006-07,1.852,
2006-08,1.716,
2006-09,1.825,
2006-10,2.171,
2006-11,2.244,
2006-12,1.857,
2007-01,1.844,
2007-02,1.810,
2007-03,1.789,
2007-04,1.753,
2007-05,1.826,
2007-06,1.864,
2007-07,1.726,
2007-08,1.759,
2007-09,1.898,
2007-10,1.747,
2007-11,1.842,
2007-12,1.889,
2008-01,1.641,
2008-02,1.606,
2008-03,1.691,
2008-04,1.610,
2008-05,1.658,
2008-06,1.825,
2008-07,2.201,
2008-08,2.151,
2008-09,2.300,
2008-10,2.024,
2008-11,1.910,
2008-12,1.914,
2009-01,1.730,
2009-02,1.695,
2009-03,1.660,
2009-04,1.557,
2009-05,1.518,
2009-06,1.602,
2009-07,1.679,
2009-08,1.725,
2009-09,1.607,
2009-10,1.682,
2009-11,1.718,
2009-12,1.809,
2010-01,2.006,
2010-02,2.087,
2010-03,2.107,
2010-04,2.283,
2010-05,2.309,
2010-06,2.302,
2010-07,2.345,
2010-08,2.285,
2010-09,2.257,
2010-10,2.360,
2010-11,2.435,
2010-12,2.738,
2011-01,2.811,
2011-02,2.676,
2011-03,2.600,
2011-04,2.711,
2011-05,2.656,
2011-06,2.559,
2011-07,2.592,
2011-08,2.699,
2011-09,2.845,
2011-10,2.549,
2011-11,2.605,
2011-12,2.744,
2012-01,2.937,
2012-02,2.955,
2012-03,2.706,
2012-04,2.656,
2012-05,2.691,
2012-06,2.643,
2012-07,2.574,
2012-08,2.650,
2012-09,2.831,
2012-10,2.616,
2012-11,3.698,
2012-12,3.332,
2013-01,3.193,
2013-02,3.415,
2013-03,3.284,
2013-04,2.968,
2013-05,2.923,
2013-06,3.068,
2013-07,3.048,
2013-08,3.154,
2013-09,3.468,
2013-10,3.262,
2013-11,3.296,
2013-12,3.353,
2014-01,3.271,
2014-02,3.228,
2014-03,3.365,
2014-04,3.134,
2014-05,3.065,
2014-06,3.426,
2014-07,3.233,
2014-08,3.293,
2014-09,3.673,
2014-10,3.515,
2014-11,3.477,
2014-12,3.644,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
