"",BBK01.OEHL08M,BBK01.OEHL08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:16,
2002-01,20.572,
2002-04,20.550,
2002-07,20.583,
2002-10,21.111,
2003-01,21.310,
2003-04,21.417,
2003-07,21.520,
2003-10,22.093,
2004-01,22.303,
2004-04,22.331,
2004-07,21.875,
2004-10,22.563,
2005-01,22.475,
2005-04,22.311,
2005-07,22.188,
2005-10,22.342,
2006-01,22.022,
2006-04,21.591,
2006-07,20.988,
2006-10,20.677,
2007-01,19.859,
2007-04,19.320,
2007-07,18.791,
2007-10,18.759,
2008-01,18.408,
2008-04,18.140,
2008-07,17.771,
2008-10,18.148,
2009-01,18.507,
2009-04,18.510,
2009-07,18.145,
2009-10,18.303,
2010-01,18.414,
2010-04,18.746,
2010-07,18.930,
2010-10,19.573,
2011-01,19.815,
2011-04,19.865,
2011-07,19.789,
2011-10,20.071,
2012-01,20.123,
2012-04,20.031,
2012-07,19.934,
2012-10,20.045,
2013-01,20.107,
2013-04,20.250,
2013-07,20.334,
2013-10,20.658,
2014-01,20.821,
2014-04,20.828,
2014-07,20.746,
