"",BBDE1.M.DE.Y.AEM1.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AEM1.A2P310000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, total / At constant prices / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:54,
2010-01,92.5,
2010-02,95.2,
2010-03,98.0,
2010-04,99.6,
2010-05,99.0,
2010-06,99.5,
2010-07,102.3,
2010-08,101.1,
2010-09,101.2,
2010-10,102.2,
2010-11,102.6,
2010-12,102.9,
2011-01,107.6,
2011-02,106.1,
2011-03,106.8,
2011-04,106.1,
2011-05,104.1,
2011-06,104.6,
2011-07,106.5,
2011-08,106.0,
2011-09,102.4,
2011-10,101.6,
2011-11,100.0,
2011-12,101.3,
2012-01,103.1,
2012-02,101.0,
2012-03,100.7,
2012-04,101.2,
2012-05,101.9,
2012-06,99.4,
2012-07,99.6,
2012-08,99.9,
2012-09,97.2,
2012-10,98.9,
2012-11,98.3,
2012-12,98.3,
2013-01,98.2,
2013-02,98.2,
2013-03,100.5,
2013-04,99.2,
2013-05,99.4,
2013-06,98.6,
2013-07,100.0,
2013-08,99.7,
2013-09,100.9,
2013-10,103.1,
2013-11,101.3,
2013-12,101.1,
2014-01,102.9,
2014-02,103.9,
2014-03,101.3,
2014-04,103.1,
2014-05,100.0,
2014-06,102.0,
2014-07,102.4,
2014-08,100.4,
2014-09,100.9,
2014-10,101.5,
2014-11,101.3,
2014-12,104.2,Provisional value
