"",BBK01.OEBK04K,BBK01.OEBK04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:10,
2002-01,1.039,
2002-04,1.065,
2002-07,1.109,
2002-10,1.235,
2003-01,1.130,
2003-04,1.049,
2003-07,1.140,
2003-10,0.979,
2004-01,1.004,
2004-04,0.996,
2004-07,0.977,
2004-10,1.075,
2005-01,0.966,
2005-04,0.950,
2005-07,0.947,
2005-10,0.786,
2006-01,0.787,
2006-04,0.774,
2006-07,0.934,
2006-10,0.829,
2007-01,0.874,
2007-04,0.947,
2007-07,1.062,
2007-10,1.369,
2008-01,1.237,
2008-04,1.322,
2008-07,1.611,
2008-10,1.424,
2009-01,1.011,
2009-04,1.059,
2009-07,0.902,
2009-10,0.751,
2010-01,0.667,
2010-04,0.586,
2010-07,0.598,
2010-10,0.721,
2011-01,0.718,
2011-04,0.712,
2011-07,0.752,
2011-10,0.765,
2012-01,0.683,
2012-04,0.609,
2012-07,0.533,
2012-10,0.444,
2013-01,0.345,
2013-04,0.326,
2013-07,0.327,
2013-10,0.296,
2014-01,0.286,
2014-04,0.274,
2014-07,0.237,
