"",BBK01.OEAO01H,BBK01.OEAO01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:44,
2002-01,103.051,
2002-04,102.090,
2002-07,100.136,
2002-10,99.824,
2003-01,103.267,
2003-04,103.922,
2003-07,104.995,
2003-10,105.649,
2004-01,108.787,
2004-04,109.459,
2004-07,109.839,
2004-10,110.681,
2005-01,119.964,
2005-04,120.288,
2005-07,120.302,
2005-10,119.334,
2006-01,120.253,
2006-04,119.044,
2006-07,117.164,
2006-10,114.620,
2007-01,114.274,
2007-04,111.720,
2007-07,108.887,
2007-10,106.343,
2008-01,106.303,
2008-04,103.394,
2008-07,101.039,
2008-10,97.853,
2009-01,100.981,
2009-04,104.136,
2009-07,107.208,
2009-10,110.438,
2010-01,115.103,
2010-04,117.661,
2010-07,118.677,
2010-10,119.577,
2011-01,122.649,
2011-04,123.852,
2011-07,123.207,
2011-10,122.286,
2012-01,124.169,
2012-04,125.548,
2012-07,124.994,
2012-10,124.850,
2013-01,126.208,
2013-04,125.825,
2013-07,124.350,
2013-10,122.814,
2014-01,123.466,
2014-04,122.482,
2014-07,121.938,
