"",BBK01.OEAH82U,BBK01.OEAH82U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:40,
2002-01,0.009,
2002-04,0.010,
2002-07,0.016,
2002-10,0.018,
2003-01,0.018,
2003-04,0.018,
2003-07,0.023,
2003-10,0.023,
2004-01,0.023,
2004-04,0.023,
2004-07,0.026,
2004-10,0.031,
2005-01,0.032,
2005-04,0.030,
2005-07,0.024,
2005-10,0.023,
2006-01,0.025,
2006-04,0.024,
2006-07,0.019,
2006-10,0.019,
2007-01,0.018,
2007-04,0.013,
2007-07,0.008,
2007-10,0.003,
2008-01,0.019,
2008-04,0.013,
2008-07,0.015,
2008-10,0.016,
2009-01,0.022,
2009-04,0.017,
2009-07,0.018,
2009-10,0.017,
2010-01,0.017,
2010-04,0.018,
2010-07,0.032,
2010-10,0.037,
2011-01,0.035,
2011-04,0.035,
2011-07,0.035,
2011-10,0.038,
2012-01,0.038,
2012-04,0.039,
2012-07,0.040,
2012-10,0.049,
2013-01,0.050,
2013-04,0.049,
2013-07,0.033,
2013-10,0.027,
2014-01,0.026,
2014-04,0.024,
2014-07,0.025,
