"",BBK01.OEBO04I,BBK01.OEBO04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:02,
2002-01,-0.211,
2002-04,-0.576,
2002-07,-0.061,
2002-10,0.041,
2003-01,-0.178,
2003-04,-0.155,
2003-07,0.056,
2003-10,-0.038,
2004-01,-0.110,
2004-04,-0.090,
2004-07,0.097,
2004-10,0.007,
2005-01,-0.039,
2005-04,-0.033,
2005-07,-0.074,
2005-10,-0.014,
2006-01,-0.074,
2006-04,-0.003,
2006-07,-0.061,
2006-10,-0.020,
2007-01,0.497,
2007-04,0.046,
2007-07,0.118,
2007-10,0.130,
2008-01,0.006,
2008-04,0.187,
2008-07,-0.039,
2008-10,0.586,
2009-01,0.041,
2009-04,0.142,
2009-07,0.299,
2009-10,-0.261,
2010-01,-0.356,
2010-04,-0.134,
2010-07,-0.067,
2010-10,0.183,
2011-01,0.068,
2011-04,-0.079,
2011-07,-0.025,
2011-10,-0.018,
2012-01,0.187,
2012-04,-0.149,
2012-07,-0.170,
2012-10,-0.151,
2013-01,-0.237,
2013-04,-0.196,
2013-07,-0.168,
2013-10,-0.064,
2014-01,-0.102,
2014-04,-0.097,
2014-07,0.294,
