"",BBK01.OEAN06I,BBK01.OEAN06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:52,
2002-01,1.279,
2002-04,1.210,
2002-07,1.209,
2002-10,1.123,
2003-01,1.021,
2003-04,0.948,
2003-07,0.897,
2003-10,0.877,
2004-01,0.820,
2004-04,0.776,
2004-07,0.741,
2004-10,0.760,
2005-01,0.812,
2005-04,0.776,
2005-07,0.665,
2005-10,0.632,
2006-01,0.636,
2006-04,0.688,
2006-07,0.757,
2006-10,0.873,
2007-01,1.147,
2007-04,1.229,
2007-07,1.351,
2007-10,1.516,
2008-01,1.569,
2008-04,1.622,
2008-07,1.713,
2008-10,2.066,
2009-01,1.978,
2009-04,1.950,
2009-07,1.902,
2009-10,1.593,
2010-01,1.435,
2010-04,1.447,
2010-07,1.896,
2010-10,2.069,
2011-01,2.288,
2011-04,2.375,
2011-07,2.413,
2011-10,2.317,
2012-01,2.131,
2012-04,2.026,
2012-07,1.819,
2012-10,1.598,
2013-01,1.417,
2013-04,1.255,
2013-07,1.155,
2013-10,1.098,
2014-01,1.050,
2014-04,1.022,
2014-07,1.236,
