"",BBK01.OELB07M,BBK01.OELB07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:08,
2002-01,2.860,
2002-04,2.801,
2002-07,2.734,
2002-10,2.659,
2003-01,2.568,
2003-04,2.513,
2003-07,2.490,
2003-10,2.417,
2004-01,2.359,
2004-04,2.326,
2004-07,2.292,
2004-10,2.227,
2005-01,2.174,
2005-04,2.143,
2005-07,2.124,
2005-10,2.065,
2006-01,2.001,
2006-04,1.973,
2006-07,1.945,
2006-10,1.908,
2007-01,1.878,
2007-04,1.822,
2007-07,1.858,
2007-10,1.830,
2008-01,1.818,
2008-04,1.816,
2008-07,1.855,
2008-10,1.819,
2009-01,1.816,
2009-04,1.833,
2009-07,1.885,
2009-10,1.918,
2010-01,1.878,
2010-04,1.929,
2010-07,1.919,
2010-10,1.930,
2011-01,1.954,
2011-04,1.994,
2011-07,2.020,
2011-10,2.105,
2012-01,2.148,
2012-04,2.294,
2012-07,2.351,
2012-10,2.341,
2013-01,2.346,
2013-04,2.372,
2013-07,2.390,
2013-10,2.431,
2014-01,2.440,
2014-04,2.505,
2014-07,2.560,
