"",BBK01.OEAD34U,BBK01.OEAD34U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:49,
2002-01,0.076,
2002-04,0.069,
2002-07,0.070,
2002-10,0.070,
2003-01,0.066,
2003-04,0.063,
2003-07,0.065,
2003-10,0.068,
2004-01,0.068,
2004-04,0.063,
2004-07,0.066,
2004-10,0.062,
2005-01,0.054,
2005-04,0.055,
2005-07,0.052,
2005-10,0.051,
2006-01,0.049,
2006-04,0.050,
2006-07,0.047,
2006-10,0.044,
2007-01,0.043,
2007-04,0.040,
2007-07,0.039,
2007-10,0.041,
2008-01,0.037,
2008-04,0.041,
2008-07,0.044,
2008-10,0.044,
2009-01,0.045,
2009-04,0.045,
2009-07,0.042,
2009-10,0.038,
2010-01,0.039,
2010-04,0.050,
2010-07,0.048,
2010-10,0.047,
2011-01,0.051,
2011-04,0.076,
2011-07,0.082,
2011-10,0.079,
2012-01,0.079,
2012-04,0.079,
2012-07,0.079,
2012-10,0.077,
2013-01,0.075,
2013-04,0.077,
2013-07,0.075,
2013-10,0.070,
2014-01,0.070,
2014-04,0.066,
2014-07,0.063,
