"",BBK01.OECB24L,BBK01.OECB24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:33,
2002-01,0.994,
2002-04,0.616,
2002-07,0.596,
2002-10,0.851,
2003-01,0.676,
2003-04,0.457,
2003-07,0.370,
2003-10,0.591,
2004-01,0.828,
2004-04,0.918,
2004-07,1.684,
2004-10,1.408,
2005-01,1.712,
2005-04,1.979,
2005-07,1.581,
2005-10,2.308,
2006-01,2.120,
2006-04,1.018,
2006-07,1.175,
2006-10,1.422,
2007-01,2.287,
2007-04,1.869,
2007-07,1.562,
2007-10,1.883,
2008-01,1.926,
2008-04,2.013,
2008-07,1.680,
2008-10,1.358,
2009-01,1.002,
2009-04,0.748,
2009-07,0.851,
2009-10,0.803,
2010-01,0.907,
2010-04,0.945,
2010-07,1.261,
2010-10,1.244,
2011-01,1.739,
2011-04,1.916,
2011-07,2.039,
2011-10,1.930,
2012-01,1.831,
2012-04,1.904,
2012-07,1.693,
2012-10,1.692,
2013-01,1.674,
2013-04,2.291,
2013-07,1.958,
2013-10,1.975,
2014-01,2.926,
2014-04,3.122,
2014-07,3.815,
