"",BBK01.OEAD31I,BBK01.OEAD31I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:11,
2002-01,1.789,
2002-04,1.701,
2002-07,1.549,
2002-10,1.456,
2003-01,1.316,
2003-04,1.514,
2003-07,1.507,
2003-10,1.455,
2004-01,1.376,
2004-04,1.376,
2004-07,1.360,
2004-10,1.321,
2005-01,1.296,
2005-04,1.333,
2005-07,1.293,
2005-10,1.274,
2006-01,1.226,
2006-04,1.291,
2006-07,1.318,
2006-10,1.332,
2007-01,1.270,
2007-04,1.283,
2007-07,1.279,
2007-10,1.309,
2008-01,1.322,
2008-04,1.456,
2008-07,1.455,
2008-10,1.359,
2009-01,1.315,
2009-04,1.351,
2009-07,1.310,
2009-10,1.188,
2010-01,0.820,
2010-04,0.811,
2010-07,0.834,
2010-10,0.790,
2011-01,1.255,
2011-04,1.215,
2011-07,1.177,
2011-10,1.109,
2012-01,1.130,
2012-04,1.104,
2012-07,1.060,
2012-10,1.028,
2013-01,1.000,
2013-04,0.980,
2013-07,0.926,
2013-10,0.929,
2014-01,0.856,
2014-04,0.849,
2014-07,0.800,
