"",BBK01.OEAE20V,BBK01.OEAE20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:41,
2002-01,0.187,
2002-04,0.182,
2002-07,0.184,
2002-10,0.166,
2003-01,0.167,
2003-04,0.175,
2003-07,0.149,
2003-10,0.143,
2004-01,0.145,
2004-04,0.151,
2004-07,0.149,
2004-10,0.130,
2005-01,0.110,
2005-04,0.101,
2005-07,0.095,
2005-10,0.096,
2006-01,0.100,
2006-04,0.102,
2006-07,0.096,
2006-10,0.093,
2007-01,0.095,
2007-04,0.092,
2007-07,0.088,
2007-10,0.144,
2008-01,0.141,
2008-04,0.151,
2008-07,0.155,
2008-10,0.052,
2009-01,0.073,
2009-04,0.098,
2009-07,0.097,
2009-10,0.093,
2010-01,0.089,
2010-04,0.104,
2010-07,0.063,
2010-10,0.066,
2011-01,0.086,
2011-04,0.081,
2011-07,0.075,
2011-10,0.074,
2012-01,0.080,
2012-04,0.079,
2012-07,0.099,
2012-10,0.113,
2013-01,0.129,
2013-04,0.147,
2013-07,0.163,
2013-10,0.176,
2014-01,0.171,
2014-04,0.160,
2014-07,0.166,
