"",BBK01.OEAE34M,BBK01.OEAE34M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:32,
2002-01,6.854,
2002-04,6.894,
2002-07,6.864,
2002-10,6.877,
2003-01,6.934,
2003-04,6.938,
2003-07,6.975,
2003-10,6.887,
2004-01,6.857,
2004-04,6.818,
2004-07,6.747,
2004-10,6.707,
2005-01,6.652,
2005-04,6.633,
2005-07,6.608,
2005-10,6.652,
2006-01,6.489,
2006-04,6.202,
2006-07,6.094,
2006-10,5.996,
2007-01,5.926,
2007-04,5.894,
2007-07,5.917,
2007-10,5.906,
2008-01,5.822,
2008-04,5.829,
2008-07,5.852,
2008-10,5.842,
2009-01,5.712,
2009-04,5.827,
2009-07,5.765,
2009-10,5.744,
2010-01,5.863,
2010-04,5.749,
2010-07,5.759,
2010-10,5.573,
2011-01,5.500,
2011-04,5.698,
2011-07,5.640,
2011-10,5.590,
2012-01,5.462,
2012-04,6.717,
2012-07,6.688,
2012-10,6.696,
2013-01,6.644,
2013-04,6.279,
2013-07,6.136,
2013-10,6.111,
2014-01,5.992,
2014-04,6.043,
2014-07,5.998,
