"",BBFN1.M.DE.N.1.L.PT.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PT.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:23,
1994-12,0.443,
1995-01,0.495,
1995-02,0.495,
1995-03,0.540,
1995-04,0.456,
1995-05,0.544,
1995-06,0.577,
1995-07,0.599,
1995-08,0.594,
1995-09,0.592,
1995-10,0.591,
1995-11,0.707,
1995-12,0.643,
1996-01,0.606,
1996-02,0.708,
1996-03,0.688,
1996-04,0.698,
1996-05,0.734,
1996-06,0.716,
1996-07,0.772,
1996-08,0.624,
1996-09,0.743,
1996-10,0.753,
1996-11,0.743,
1996-12,0.686,
1997-01,0.709,
1997-02,0.818,
1997-03,0.828,
1997-04,0.877,
1997-05,0.988,
1997-06,1.005,
1997-07,1.028,
1997-08,0.838,
1997-09,0.870,
1997-10,0.953,
1997-11,1.064,
1997-12,1.008,
1998-01,0.961,
1998-02,1.022,
1998-03,1.099,
1998-04,1.098,
1998-05,1.124,
1998-06,1.199,
1998-07,1.227,
1998-08,0.951,
1998-09,1.154,
1998-10,1.119,
1998-11,1.111,
1998-12,1.053,
1999-01,1.271,
1999-02,1.172,
1999-03,1.330,
1999-04,1.318,
1999-05,1.480,
1999-06,1.341,
1999-07,1.497,
1999-08,1.446,
1999-09,1.608,
1999-10,1.642,
1999-11,1.712,
1999-12,1.670,
2000-01,1.775,
2000-02,1.702,
2000-03,1.609,
2000-04,1.637,
2000-05,1.721,
2000-06,1.734,
2000-07,1.715,
2000-08,1.788,
2000-09,1.793,
2000-10,1.891,
2000-11,1.860,
2000-12,1.866,
2001-01,1.752,
2001-02,1.732,
2001-03,1.613,
2001-04,1.678,
2001-05,1.584,
2001-06,1.593,
2001-07,1.524,
2001-08,1.588,
2001-09,1.694,
2001-10,1.705,
2001-11,1.630,
2001-12,1.770,
2002-01,1.455,
2002-02,1.563,
2002-03,1.566,
2002-04,1.502,
2002-05,1.507,
2002-06,1.639,
2002-07,1.672,
2002-08,1.553,
2002-09,1.651,
2002-10,1.647,
2002-11,1.586,
2002-12,1.384,
2003-01,1.409,
2003-02,1.389,
2003-03,1.496,
2003-04,1.386,
2003-05,1.405,
2003-06,1.381,
2003-07,1.378,
2003-08,1.315,
2003-09,1.354,
2003-10,1.329,
2003-11,1.397,
2003-12,1.344,
2004-01,1.341,
2004-02,1.727,
2004-03,1.799,
2004-04,1.710,
2004-05,1.822,
2004-06,1.763,
2004-07,1.957,
2004-08,1.822,
2004-09,2.030,
2004-10,1.978,
2004-11,1.806,
2004-12,1.663,
2005-01,1.591,
2005-02,1.811,
2005-03,1.766,
2005-04,1.748,
2005-05,1.741,
2005-06,1.742,
2005-07,1.855,
2005-08,1.768,
2005-09,2.080,
2005-10,2.031,
2005-11,2.040,
2005-12,1.922,
2006-01,1.818,
2006-02,1.889,
2006-03,1.894,
2006-04,1.961,
2006-05,1.970,
2006-06,1.885,
2006-07,2.099,
2006-08,2.078,
2006-09,2.275,
2006-10,2.527,
2006-11,2.540,
2006-12,2.402,
2007-01,2.141,
2007-02,2.124,
2007-03,2.256,
2007-04,2.533,
2007-05,2.527,
2007-06,2.571,
2007-07,2.715,
2007-08,2.679,
2007-09,2.741,
2007-10,2.868,
2007-11,2.867,
2007-12,2.631,
2008-01,2.464,
2008-02,2.587,
2008-03,2.842,
2008-04,2.800,
2008-05,2.684,
2008-06,2.788,
2008-07,2.918,
2008-08,2.525,
2008-09,2.721,
2008-10,2.888,
2008-11,3.150,
2008-12,3.058,
2009-01,2.950,
2009-02,2.814,
2009-03,3.212,
2009-04,2.978,
2009-05,2.887,
2009-06,2.909,
2009-07,2.763,
2009-08,2.982,
2009-09,3.182,
2009-10,3.307,
2009-11,3.081,
2009-12,3.053,
2010-01,3.104,
2010-02,3.100,
2010-03,3.156,
2010-04,3.080,
2010-05,3.135,
2010-06,3.024,
2010-07,3.019,
2010-08,2.917,
2010-09,3.058,
2010-10,3.140,
2010-11,3.064,
2010-12,3.295,
2011-01,3.299,
2011-02,3.328,
2011-03,3.199,
2011-04,3.191,
2011-05,3.173,
2011-06,3.366,
2011-07,3.336,
2011-08,3.213,
2011-09,3.436,
2011-10,3.474,
2011-11,3.216,
2011-12,2.740,
2012-01,2.839,
2012-02,2.778,
2012-03,2.876,
2012-04,2.474,
2012-05,2.560,
2012-06,2.467,
2012-07,2.595,
2012-08,2.459,
2012-09,2.528,
2012-10,2.685,
2012-11,2.660,
2012-12,2.332,
2013-01,2.528,
2013-02,2.497,
2013-03,2.550,
2013-04,2.556,
2013-05,2.575,
2013-06,2.425,
2013-07,2.356,
2013-08,2.225,
2013-09,2.497,
2013-10,2.445,
2013-11,2.755,
2013-12,2.600,
2014-01,2.471,
2014-02,2.295,
2014-03,2.434,
2014-04,2.167,
2014-05,2.165,
2014-06,2.177,
2014-07,2.246,
2014-08,1.933,
2014-09,2.092,
2014-10,2.164,
2014-11,2.144,
2014-12,1.932,
