"",BBK01.OELB03M,BBK01.OELB03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:06,
2002-01,2.870,
2002-04,2.812,
2002-07,2.746,
2002-10,2.668,
2003-01,2.576,
2003-04,2.522,
2003-07,2.499,
2003-10,2.425,
2004-01,2.367,
2004-04,2.334,
2004-07,2.299,
2004-10,2.235,
2005-01,2.182,
2005-04,2.151,
2005-07,2.133,
2005-10,2.074,
2006-01,2.009,
2006-04,1.978,
2006-07,1.951,
2006-10,1.915,
2007-01,1.885,
2007-04,1.828,
2007-07,1.864,
2007-10,1.835,
2008-01,1.825,
2008-04,1.825,
2008-07,1.865,
2008-10,1.831,
2009-01,1.828,
2009-04,1.844,
2009-07,1.895,
2009-10,1.927,
2010-01,1.885,
2010-04,1.937,
2010-07,1.927,
2010-10,1.938,
2011-01,1.960,
2011-04,2.002,
2011-07,2.029,
2011-10,2.114,
2012-01,2.156,
2012-04,2.304,
2012-07,2.363,
2012-10,2.353,
2013-01,2.357,
2013-04,2.380,
2013-07,2.399,
2013-10,2.441,
2014-01,2.450,
2014-04,2.515,
2014-07,2.568,
