"",BBK01.OELI09N,BBK01.OELI09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:18,
2002-01,6.524,
2002-04,6.338,
2002-07,6.310,
2002-10,6.368,
2003-01,6.393,
2003-04,6.227,
2003-07,6.029,
2003-10,6.046,
2004-01,6.123,
2004-04,6.246,
2004-07,6.472,
2004-10,6.603,
2005-01,6.465,
2005-04,6.370,
2005-07,6.142,
2005-10,6.029,
2006-01,6.323,
2006-04,6.746,
2006-07,7.359,
2006-10,7.599,
2007-01,7.664,
2007-04,7.399,
2007-07,7.501,
2007-10,7.379,
2008-01,6.920,
2008-04,6.491,
2008-07,5.790,
2008-10,5.686,
2009-01,6.050,
2009-04,6.729,
2009-07,7.308,
2009-10,7.839,
2010-01,7.779,
2010-04,7.469,
2010-07,7.071,
2010-10,6.561,
2011-01,6.323,
2011-04,6.057,
2011-07,6.038,
2011-10,5.062,
2012-01,5.615,
2012-04,5.359,
2012-07,5.265,
2012-10,5.117,
2013-01,5.074,
2013-04,4.923,
2013-07,4.863,
2013-10,4.681,
2014-01,4.724,
2014-04,4.627,
2014-07,4.537,
