"",BBFB1.Q.N.DE.B5.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:28,
1991-01,-4235.275,
1991-04,-3525.249,
1991-07,-3512.598,
1991-10,-4523.343,
1992-01,-4251.789,
1992-04,-3764.885,
1992-07,-4176.882,
1992-10,-4425.066,
1993-01,-3760.111,
1993-04,-4412.730,
1993-07,-4529.773,
1993-10,-5363.690,
1994-01,-5112.691,
1994-04,-4792.959,
1994-07,-5237.969,
1994-10,-5697.866,
1995-01,-5037.567,
1995-04,-4409.145,
1995-07,-4759.850,
1995-10,-5597.705,
1996-01,-5576.604,
1996-04,-5482.070,
1996-07,-3275.349,
1996-10,-5025.107,
1997-01,-6930.327,
1997-04,-4020.028,
1997-07,-5213.131,
1997-10,-3699.691,
1998-01,-8318.315,
1998-04,-3152.612,
1998-07,-4661.946,
1998-10,-4851.517,
1999-01,-6063.808,
1999-04,-3357.267,
1999-07,-5031.026,
1999-10,-4625.485,
2000-01,-6091.034,
2000-04,-5029.007,
2000-07,-4527.435,
2000-10,-5692.360,
2001-01,-6096.216,
2001-04,-5253.539,
2001-07,-3497.014,
2001-10,-4896.768,
2002-01,-6303.470,
2002-04,-5114.849,
2002-07,-2963.440,
2002-10,-4036.394,
2003-01,-6064.417,
2003-04,-5131.875,
2003-07,-5623.088,
2003-10,-4361.624,
2004-01,-6737.508,
2004-04,-4106.576,
2004-07,-5283.307,
2004-10,-3653.371,
2005-01,-8262.427,
2005-04,-3333.121,
2005-07,-4999.689,
2005-10,-4357.818,
2006-01,-7502.673,
2006-04,-2702.187,
2006-07,-5877.259,
2006-10,-5871.961,
2007-01,-8814.356,
2007-04,-2248.820,
2007-07,-5274.934,
2007-10,-6990.415,
2008-01,-7630.269,
2008-04,-1948.826,
2008-07,-4420.582,
2008-10,-7434.680,
2009-01,-7309.743,
2009-04,-2657.575,
2009-07,-4797.519,
2009-10,-8699.541,
2010-01,-10013.693,
2010-04,-3379.065,
2010-07,-6670.784,
2010-10,-7582.685,
2011-01,-9408.188,
2011-04,-2484.971,
2011-07,-6044.693,
2011-10,-6511.888,
2012-01,-10846.184,
2012-04,-3871.852,
2012-07,-5744.526,
2012-10,-6560.308,
2013-01,-11865.016,
2013-04,-5941.617,
2013-07,-6424.348,
2013-10,-7547.544,
2014-01,-11861.807,Provisional value
2014-04,-4965.358,Provisional value
2014-07,-4621.296,Provisional value
