"",BBEX3.M.JPY.EUR.BB.AC.A01,BBEX3.M.JPY.EUR.BB.AC.A01_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = JPY ... / Japan,
unit,JPY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:35,
1999-01,132.10,
1999-02,131.33,
1999-03,127.81,
1999-04,126.90,
1999-05,127.18,
1999-06,124.82,
1999-07,123.19,
1999-08,115.53,
1999-09,112.67,
1999-10,109.59,
1999-11,103.00,
1999-12,102.73,
2000-01,104.62,
2000-02,106.81,
2000-03,98.53,
2000-04,97.48,
2000-05,99.90,
2000-06,100.57,
2000-07,101.04,
2000-08,94.77,
2000-09,94.94,
2000-10,91.88,
2000-11,96.44,
2000-12,106.92,
2001-01,107.87,
2001-02,108.45,
2001-03,110.74,
2001-04,109.67,
2001-05,101.00,
2001-06,105.37,
2001-07,109.30,
2001-08,108.65,
2001-09,109.02,
2001-10,110.37,
2001-11,110.06,
2001-12,115.33,
2002-01,114.73,
2002-02,116.07,
2002-03,115.51,
2002-04,115.66,
2002-05,116.39,
2002-06,118.20,
2002-07,117.42,
2002-08,116.35,
2002-09,119.67,
2002-10,121.04,
2002-11,121.56,
2002-12,124.39,
2003-01,129.17,
2003-02,127.32,
2003-03,129.18,
2003-04,132.98,
2003-05,140.31,
2003-06,137.32,
2003-07,135.72,
2003-08,127.26,
2003-09,128.80,
2003-10,126.72,
2003-11,131.24,
2003-12,135.05,
2004-01,131.06,
2004-02,135.63,
2004-03,126.97,
2004-04,131.87,
2004-05,133.24,
2004-06,132.40,
2004-07,134.19,
2004-08,133.05,
2004-09,137.17,
2004-10,135.13,
2004-11,136.54,
2004-12,139.65,
2005-01,134.96,
2005-02,138.04,
2005-03,138.44,
2005-04,136.24,
2005-05,133.47,
2005-06,133.95,
2005-07,135.91,
2005-08,136.06,
2005-09,136.25,
2005-10,139.64,
2005-11,140.80,
2005-12,138.90,
2006-01,142.17,
2006-02,138.18,
2006-03,142.42,
2006-04,143.29,
2006-05,144.32,
2006-06,145.75,
2006-07,145.82,
2006-08,150.56,
2006-09,149.34,
2006-10,149.59,
2006-11,153.29,
2006-12,156.93,
2007-01,157.27,
2007-02,156.45,
2007-03,157.32,
2007-04,162.82,
2007-05,163.56,
2007-06,166.63,
2007-07,163.59,
2007-08,159.25,
2007-09,163.55,
2007-10,166.49,
2007-11,163.43,
2007-12,164.93,
2008-01,157.93,
2008-02,158.03,
2008-03,157.37,
2008-04,162.62,
2008-05,163.74,
2008-06,166.44,
2008-07,169.02,
2008-08,160.22,
2008-09,150.47,
2008-10,124.97,
2008-11,121.46,
2008-12,126.14,
2009-01,114.98,
2009-02,123.23,
2009-03,131.17,
2009-04,130.34,
2009-05,135.22,
2009-06,135.51,
2009-07,135.33,
2009-08,133.10,
2009-09,131.07,
2009-10,134.66,
2009-11,129.77,
2009-12,133.16,
2010-01,126.15,
2010-02,120.92,
2010-03,125.93,
2010-04,125.81,
2010-05,112.62,
2010-06,108.79,
2010-07,112.62,
2010-08,107.07,
2010-09,113.68,
2010-10,111.87,
2010-11,109.00,
2010-12,108.65,
2011-01,112.49,
2011-02,113.26,
2011-03,117.61,
2011-04,120.67,
2011-05,117.22,
2011-06,116.25,
2011-07,110.59,
2011-08,110.55,
2011-09,103.79,
2011-10,109.22,
2011-11,104.00,
2011-12,100.20,
2012-01,100.63,
2012-02,107.92,
2012-03,109.56,
2012-04,105.85,
2012-05,97.66,
2012-06,100.13,
2012-07,96.03,
2012-08,98.96,
2012-09,100.37,
2012-10,103.78,
2012-11,107.37,
2012-12,113.61,
2013-01,123.32,
2013-02,121.07,
2013-03,120.87,
2013-04,127.35,
2013-05,130.47,
2013-06,129.39,
2013-07,130.00,
2013-08,130.01,
2013-09,131.78,
2013-10,133.99,
2013-11,139.21,
2013-12,144.72,
2014-01,138.13,
2014-02,140.63,
2014-03,142.42,
2014-04,142.07,
2014-05,138.36,
2014-06,138.44,
2014-07,137.66,
2014-08,137.11,
2014-09,138.11,
2014-10,140.18,
2014-11,147.69,
2014-12,145.23,
2015-01,133.08,
2015-02,134.05,
"","General: The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
