"",BBK01.OECB22S,BBK01.OECB22S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:58,
2002-01,0.164,
2002-04,0.153,
2002-07,0.156,
2002-10,0.135,
2003-01,0.086,
2003-04,0.096,
2003-07,0.104,
2003-10,0.043,
2004-01,0.031,
2004-04,0.041,
2004-07,0.041,
2004-10,0.031,
2005-01,0.040,
2005-04,0.044,
2005-07,0.045,
2005-10,0.031,
2006-01,0.051,
2006-04,0.032,
2006-07,0.042,
2006-10,0.026,
2007-01,0.026,
2007-04,0.028,
2007-07,0.027,
2007-10,0.054,
2008-01,0.077,
2008-04,0.110,
2008-07,0.110,
2008-10,0.081,
2009-01,0.040,
2009-04,0.041,
2009-07,0.020,
2009-10,0.019,
2010-01,0.021,
2010-04,0.020,
2010-07,0.023,
2010-10,0.048,
2011-01,0.017,
2011-04,0.013,
2011-07,0.013,
2011-10,0.010,
2012-01,0.011,
2012-04,0.007,
2012-07,0.006,
2012-10,0.005,
2013-01,0.006,
2013-04,0.004,
2013-07,0.004,
2013-10,0.003,
2014-01,0.004,
2014-04,0.005,
2014-07,0.006,
