"",BBK01.OXA8Z6,BBK01.OXA8Z6_FLAGS
"",Loans to domestic non-financial corporations with an original maturity of more than one year and with a remaining maturity up to and including one year - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:18,
2010-06,43.208,
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,40.205,
2010-10,-,Nothing exists
2010-11,-,Nothing exists
2010-12,34.877,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,36.131,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,32.506,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,37.607,
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,40.473,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,39.880,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,39.027,
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,36.931,
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,39.526,
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,40.626,
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,41.485,
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,43.144,
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,41.912,
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,38.422,
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,38.255,
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,36.315,
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,34.460,Provisional value
