"",BBFN1.M.DE.N.1.A.MA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Morocco,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:13,
1994-12,0.180,
1995-01,0.176,
1995-02,0.184,
1995-03,0.177,
1995-04,0.172,
1995-05,0.169,
1995-06,0.189,
1995-07,0.199,
1995-08,0.192,
1995-09,0.198,
1995-10,0.184,
1995-11,0.198,
1995-12,0.193,
1996-01,0.198,
1996-02,0.203,
1996-03,0.183,
1996-04,0.179,
1996-05,0.176,
1996-06,0.177,
1996-07,0.186,
1996-08,0.186,
1996-09,0.190,
1996-10,0.190,
1996-11,0.192,
1996-12,0.203,
1997-01,0.194,
1997-02,0.196,
1997-03,0.195,
1997-04,0.190,
1997-05,0.194,
1997-06,0.201,
1997-07,0.206,
1997-08,0.195,
1997-09,0.198,
1997-10,0.206,
1997-11,0.206,
1997-12,0.210,
1998-01,0.198,
1998-02,0.205,
1998-03,0.200,
1998-04,0.207,
1998-05,0.210,
1998-06,0.214,
1998-07,0.209,
1998-08,0.201,
1998-09,0.192,
1998-10,0.189,
1998-11,0.185,
1998-12,0.179,
1999-01,0.181,
1999-02,0.179,
1999-03,0.178,
1999-04,0.184,
1999-05,0.184,
1999-06,0.194,
1999-07,0.195,
1999-08,0.193,
1999-09,0.193,
1999-10,0.187,
1999-11,0.193,
1999-12,0.182,
2000-01,0.196,
2000-02,0.193,
2000-03,0.197,
2000-04,0.195,
2000-05,0.192,
2000-06,0.236,
2000-07,0.245,
2000-08,0.225,
2000-09,0.250,
2000-10,0.241,
2000-11,0.236,
2000-12,0.235,
2001-01,0.224,
2001-02,0.229,
2001-03,0.233,
2001-04,0.237,
2001-05,0.247,
2001-06,0.258,
2001-07,0.244,
2001-08,0.251,
2001-09,0.277,
2001-10,0.269,
2001-11,0.283,
2001-12,0.273,
2002-01,0.248,
2002-02,0.250,
2002-03,0.270,
2002-04,0.282,
2002-05,0.276,
2002-06,0.279,
2002-07,0.279,
2002-08,0.271,
2002-09,0.247,
2002-10,0.240,
2002-11,0.255,
2002-12,0.233,
2003-01,0.241,
2003-02,0.227,
2003-03,0.224,
2003-04,0.231,
2003-05,0.239,
2003-06,0.228,
2003-07,0.223,
2003-08,0.213,
2003-09,0.207,
2003-10,0.210,
2003-11,0.220,
2003-12,0.225,
2004-01,0.213,
2004-02,0.225,
2004-03,0.222,
2004-04,0.221,
2004-05,0.245,
2004-06,0.267,
2004-07,0.273,
2004-08,0.259,
2004-09,0.261,
2004-10,0.260,
2004-11,0.244,
2004-12,0.235,
2005-01,0.226,
2005-02,0.248,
2005-03,0.260,
2005-04,0.269,
2005-05,0.268,
2005-06,0.290,
2005-07,0.280,
2005-08,0.263,
2005-09,0.270,
2005-10,0.266,
2005-11,0.268,
2005-12,0.241,
2006-01,0.252,
2006-02,0.266,
2006-03,0.279,
2006-04,0.282,
2006-05,0.261,
2006-06,0.291,
2006-07,0.293,
2006-08,0.299,
2006-09,0.302,
2006-10,0.296,
2006-11,0.333,
2006-12,0.335,
2007-01,0.287,
2007-02,0.294,
2007-03,0.295,
2007-04,0.314,
2007-05,0.341,
2007-06,0.304,
2007-07,0.325,
2007-08,0.320,
2007-09,0.329,
2007-10,0.321,
2007-11,0.326,
2007-12,0.304,
2008-01,0.320,
2008-02,0.332,
2008-03,0.342,
2008-04,0.386,
2008-05,0.355,
2008-06,0.384,
2008-07,0.398,
2008-08,0.547,
2008-09,0.406,
2008-10,0.417,
2008-11,0.374,
2008-12,0.347,
2009-01,0.297,
2009-02,0.337,
2009-03,0.305,
2009-04,0.307,
2009-05,0.304,
2009-06,0.301,
2009-07,0.309,
2009-08,0.307,
2009-09,0.285,
2009-10,0.296,
2009-11,0.301,
2009-12,0.309,
2010-01,0.281,
2010-02,0.287,
2010-03,0.303,
2010-04,0.311,
2010-05,0.359,
2010-06,0.336,
2010-07,0.326,
2010-08,0.350,
2010-09,0.328,
2010-10,0.345,
2010-11,0.372,
2010-12,0.359,
2011-01,0.356,
2011-02,0.395,
2011-03,0.417,
2011-04,0.414,
2011-05,0.437,
2011-06,0.429,
2011-07,0.419,
2011-08,0.425,
2011-09,0.470,
2011-10,0.455,
2011-11,0.495,
2011-12,0.397,
2012-01,0.362,
2012-02,0.384,
2012-03,0.419,
2012-04,0.415,
2012-05,0.420,
2012-06,0.412,
2012-07,0.413,
2012-08,0.422,
2012-09,0.427,
2012-10,0.473,
2012-11,0.452,
2012-12,0.404,
2013-01,0.379,
2013-02,0.405,
2013-03,0.434,
2013-04,0.465,
2013-05,0.458,
2013-06,0.454,
2013-07,0.434,
2013-08,0.489,
2013-09,0.446,
2013-10,0.437,
2013-11,0.457,
2013-12,0.436,
2014-01,0.428,
2014-02,0.437,
2014-03,0.506,
2014-04,0.503,
2014-05,0.489,
2014-06,0.508,
2014-07,0.489,
2014-08,0.497,
2014-09,0.492,
2014-10,0.505,
2014-11,0.501,
2014-12,0.479,
