"",BBK01.OEBJ02V,BBK01.OEBJ02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:15,
2002-01,1.588,
2002-04,1.666,
2002-07,1.743,
2002-10,1.956,
2003-01,1.699,
2003-04,1.816,
2003-07,1.926,
2003-10,2.633,
2004-01,2.980,
2004-04,3.469,
2004-07,3.908,
2004-10,3.018,
2005-01,2.970,
2005-04,3.425,
2005-07,4.876,
2005-10,3.450,
2006-01,3.092,
2006-04,3.252,
2006-07,3.310,
2006-10,3.639,
2007-01,3.468,
2007-04,3.310,
2007-07,3.291,
2007-10,3.622,
2008-01,3.689,
2008-04,3.443,
2008-07,3.710,
2008-10,3.159,
2009-01,4.828,
2009-04,4.938,
2009-07,5.185,
2009-10,4.414,
2010-01,4.397,
2010-04,4.461,
2010-07,4.339,
2010-10,4.407,
2011-01,4.229,
2011-04,4.358,
2011-07,4.514,
2011-10,4.005,
2012-01,3.915,
2012-04,3.659,
2012-07,3.912,
2012-10,4.002,
2013-01,3.878,
2013-04,3.957,
2013-07,4.005,
2013-10,4.201,
2014-01,4.250,
2014-04,4.148,
2014-07,4.348,
