"",BBFN1.M.DE.N.1.A.ES.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:12,
1994-07,2.465,
1994-08,2.702,
1994-09,2.829,
1994-10,2.911,
1994-11,3.118,
1994-12,3.206,
1995-01,3.238,
1995-02,3.272,
1995-03,3.361,
1995-04,3.226,
1995-05,3.294,
1995-06,3.316,
1995-07,3.178,
1995-08,3.032,
1995-09,3.142,
1995-10,3.112,
1995-11,3.172,
1995-12,3.092,
1996-01,3.015,
1996-02,3.000,
1996-03,3.183,
1996-04,3.161,
1996-05,3.244,
1996-06,3.293,
1996-07,3.221,
1996-08,2.991,
1996-09,3.134,
1996-10,3.155,
1996-11,3.265,
1996-12,3.119,
1997-01,3.163,
1997-02,3.236,
1997-03,3.331,
1997-04,3.443,
1997-05,3.498,
1997-06,3.535,
1997-07,3.536,
1997-08,3.343,
1997-09,3.618,
1997-10,3.783,
1997-11,3.874,
1997-12,3.764,
1998-01,3.598,
1998-02,3.745,
1998-03,3.881,
1998-04,3.891,
1998-05,4.013,
1998-06,4.127,
1998-07,4.107,
1998-08,3.834,
1998-09,4.127,
1998-10,4.170,
1998-11,4.187,
1998-12,3.976,
1999-01,3.914,
1999-02,4.025,
1999-03,4.162,
1999-04,4.145,
1999-05,4.311,
1999-06,4.369,
1999-07,4.373,
1999-08,4.051,
1999-09,4.385,
1999-10,4.571,
1999-11,4.693,
1999-12,4.447,
2000-01,4.512,
2000-02,4.689,
2000-03,4.916,
2000-04,4.948,
2000-05,5.218,
2000-06,5.069,
2000-07,4.943,
2000-08,4.768,
2000-09,4.720,
2000-10,5.031,
2000-11,5.177,
2000-12,5.230,
2001-01,5.207,
2001-02,5.265,
2001-03,5.380,
2001-04,5.048,
2001-05,5.408,
2001-06,5.281,
2001-07,5.244,
2001-08,4.920,
2001-09,5.105,
2001-10,5.339,
2001-11,5.390,
2001-12,5.185,
2002-01,5.219,
2002-02,5.196,
2002-03,4.910,
2002-04,4.943,
2002-05,4.936,
2002-06,5.291,
2002-07,5.010,
2002-08,4.439,
2002-09,4.902,
2002-10,4.881,
2002-11,5.042,
2002-12,4.945,
2003-01,4.944,
2003-02,4.948,
2003-03,5.083,
2003-04,4.892,
2003-05,4.896,
2003-06,4.955,
2003-07,4.815,
2003-08,4.556,
2003-09,4.827,
2003-10,4.880,
2003-11,5.164,
2003-12,4.701,
2004-01,4.584,
2004-02,4.701,
2004-03,5.022,
2004-04,4.904,
2004-05,5.183,
2004-06,5.402,
2004-07,5.254,
2004-08,4.735,
2004-09,4.981,
2004-10,5.258,
2004-11,5.631,
2004-12,5.310,
2005-01,5.386,
2005-02,5.452,
2005-03,5.626,
2005-04,5.518,
2005-05,5.574,
2005-06,5.687,
2005-07,5.472,
2005-08,4.997,
2005-09,5.464,
2005-10,5.452,
2005-11,5.811,
2005-12,5.733,
2006-01,5.620,
2006-02,5.827,
2006-03,6.009,
2006-04,5.601,
2006-05,5.837,
2006-06,6.031,
2006-07,5.768,
2006-08,5.433,
2006-09,5.811,
2006-10,5.994,
2006-11,6.357,
2006-12,6.121,
2007-01,6.285,
2007-02,6.286,
2007-03,6.527,
2007-04,6.348,
2007-05,6.493,
2007-06,6.779,
2007-07,6.446,
2007-08,5.997,
2007-09,6.172,
2007-10,6.380,
2007-11,6.860,
2007-12,6.346,
2008-01,6.294,
2008-02,6.508,
2008-03,6.540,
2008-04,6.379,
2008-05,6.383,
2008-06,6.325,
2008-07,6.029,
2008-08,5.701,
2008-09,5.944,
2008-10,5.994,
2008-11,6.105,
2008-12,5.589,
2009-01,5.328,
2009-02,5.204,
2009-03,5.262,
2009-04,4.868,
2009-05,4.964,
2009-06,4.973,
2009-07,4.845,
2009-08,4.750,
2009-09,4.433,
2009-10,4.569,
2009-11,4.769,
2009-12,4.338,
2010-01,4.245,
2010-02,4.396,
2010-03,4.640,
2010-04,4.473,
2010-05,4.798,
2010-06,4.979,
2010-07,4.779,
2010-08,4.466,
2010-09,5.051,
2010-10,5.098,
2010-11,5.099,
2010-12,4.736,
2011-01,5.011,
2011-02,5.354,
2011-03,5.111,
2011-04,5.216,
2011-05,5.228,
2011-06,5.217,
2011-07,5.129,
2011-08,4.611,
2011-09,5.318,
2011-10,5.359,
2011-11,5.299,
2011-12,5.125,
2012-01,5.132,
2012-02,5.325,
2012-03,5.178,
2012-04,5.009,
2012-05,4.868,
2012-06,5.067,
2012-07,4.696,
2012-08,4.362,
2012-09,4.733,
2012-10,4.721,
2012-11,4.934,
2012-12,4.725,
2013-01,4.510,
2013-02,4.767,
2013-03,4.847,
2013-04,4.633,
2013-05,4.762,
2013-06,4.893,
2013-07,4.528,
2013-08,4.346,
2013-09,4.557,
2013-10,4.595,
2013-11,4.898,
2013-12,4.671,
2014-01,4.576,
2014-02,4.857,
2014-03,4.845,
2014-04,4.883,
2014-05,4.842,
2014-06,4.977,
2014-07,4.851,
2014-08,4.398,
2014-09,4.736,
2014-10,4.774,
2014-11,5.012,
2014-12,4.865,
