"",BBK01.OEHJ04K,BBK01.OEHJ04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:32,
2002-01,1.011,
2002-04,0.922,
2002-07,0.966,
2002-10,0.686,
2003-01,0.841,
2003-04,0.982,
2003-07,0.938,
2003-10,0.922,
2004-01,1.145,
2004-04,1.075,
2004-07,1.036,
2004-10,1.399,
2005-01,1.769,
2005-04,1.588,
2005-07,1.686,
2005-10,1.229,
2006-01,1.260,
2006-04,1.165,
2006-07,1.277,
2006-10,1.277,
2007-01,1.308,
2007-04,0.824,
2007-07,1.000,
2007-10,0.966,
2008-01,1.244,
2008-04,1.377,
2008-07,1.494,
2008-10,1.625,
2009-01,1.582,
2009-04,1.266,
2009-07,0.988,
2009-10,1.022,
2010-01,1.086,
2010-04,1.088,
2010-07,1.027,
2010-10,0.994,
2011-01,1.093,
2011-04,1.459,
2011-07,1.510,
2011-10,1.058,
2012-01,0.770,
2012-04,0.922,
2012-07,0.834,
2012-10,0.559,
2013-01,0.744,
2013-04,0.724,
2013-07,0.560,
2013-10,0.576,
2014-01,0.657,
2014-04,0.712,
2014-07,0.510,
