"",BBFN1.M.DE.N.1.L.SI.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SI.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Slovenia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:03,
1994-07,0.099,
1994-08,0.114,
1994-09,0.113,
1994-10,0.126,
1994-11,0.130,
1994-12,0.140,
1995-01,0.135,
1995-02,0.148,
1995-03,0.157,
1995-04,0.150,
1995-05,0.157,
1995-06,0.156,
1995-07,0.149,
1995-08,0.140,
1995-09,0.137,
1995-10,0.132,
1995-11,0.139,
1995-12,0.145,
1996-01,0.141,
1996-02,0.156,
1996-03,0.144,
1996-04,0.135,
1996-05,0.140,
1996-06,0.146,
1996-07,0.146,
1996-08,0.129,
1996-09,0.136,
1996-10,0.138,
1996-11,0.131,
1996-12,0.118,
1997-01,0.123,
1997-02,0.128,
1997-03,0.137,
1997-04,0.131,
1997-05,0.138,
1997-06,0.139,
1997-07,0.147,
1997-08,0.140,
1997-09,0.141,
1997-10,0.147,
1997-11,0.139,
1997-12,0.126,
1998-01,0.108,
1998-02,0.140,
1998-03,0.144,
1998-04,0.143,
1998-05,0.161,
1998-06,0.163,
1998-07,0.176,
1998-08,0.164,
1998-09,0.176,
1998-10,0.182,
1998-11,0.189,
1998-12,0.186,
1999-01,0.196,
1999-02,0.219,
1999-03,0.225,
1999-04,0.202,
1999-05,0.178,
1999-06,0.221,
1999-07,0.216,
1999-08,0.219,
1999-09,0.222,
1999-10,0.221,
1999-11,0.235,
1999-12,0.203,
2000-01,0.233,
2000-02,0.239,
2000-03,0.250,
2000-04,0.254,
2000-05,0.233,
2000-06,0.258,
2000-07,0.250,
2000-08,0.225,
2000-09,0.242,
2000-10,0.255,
2000-11,0.274,
2000-12,0.280,
2001-01,0.231,
2001-02,0.208,
2001-03,0.222,
2001-04,0.214,
2001-05,0.229,
2001-06,0.257,
2001-07,0.232,
2001-08,0.222,
2001-09,0.228,
2001-10,0.241,
2001-11,0.257,
2001-12,0.237,
2002-01,0.253,
2002-02,0.270,
2002-03,0.242,
2002-04,0.235,
2002-05,0.243,
2002-06,0.221,
2002-07,0.234,
2002-08,0.216,
2002-09,0.235,
2002-10,0.218,
2002-11,0.231,
2002-12,0.199,
2003-01,0.187,
2003-02,0.205,
2003-03,0.208,
2003-04,0.219,
2003-05,0.208,
2003-06,0.217,
2003-07,0.204,
2003-08,0.200,
2003-09,0.226,
2003-10,0.245,
2003-11,0.244,
2003-12,0.215,
2004-01,0.230,
2004-02,0.215,
2004-03,0.223,
2004-04,0.207,
2004-05,0.208,
2004-06,0.205,
2004-07,0.194,
2004-08,0.216,
2004-09,0.241,
2004-10,0.193,
2004-11,0.201,
2004-12,0.203,
2005-01,0.177,
2005-02,0.180,
2005-03,0.193,
2005-04,0.187,
2005-05,0.183,
2005-06,0.201,
2005-07,0.183,
2005-08,0.173,
2005-09,0.196,
2005-10,0.215,
2005-11,0.240,
2005-12,0.216,
2006-01,0.216,
2006-02,0.193,
2006-03,0.196,
2006-04,0.182,
2006-05,0.191,
2006-06,0.191,
2006-07,0.194,
2006-08,0.184,
2006-09,0.192,
2006-10,0.216,
2006-11,0.215,
2006-12,0.217,
2007-01,0.207,
2007-02,0.219,
2007-03,0.227,
2007-04,0.239,
2007-05,0.232,
2007-06,0.243,
2007-07,0.239,
2007-08,0.237,
2007-09,0.261,
2007-10,0.255,
2007-11,0.251,
2007-12,0.225,
2008-01,0.226,
2008-02,0.243,
2008-03,0.257,
2008-04,0.263,
2008-05,0.231,
2008-06,0.255,
2008-07,0.258,
2008-08,0.233,
2008-09,0.237,
2008-10,0.240,
2008-11,0.247,
2008-12,0.224,
2009-01,0.203,
2009-02,0.198,
2009-03,0.216,
2009-04,0.203,
2009-05,0.203,
2009-06,0.203,
2009-07,0.211,
2009-08,0.207,
2009-09,0.234,
2009-10,0.242,
2009-11,0.238,
2009-12,0.280,
2010-01,0.259,
2010-02,0.277,
2010-03,0.279,
2010-04,0.291,
2010-05,0.291,
2010-06,0.326,
2010-07,0.306,
2010-08,0.304,
2010-09,0.349,
2010-10,0.339,
2010-11,0.350,
2010-12,0.370,
2011-01,0.357,
2011-02,0.423,
2011-03,0.485,
2011-04,0.472,
2011-05,0.509,
2011-06,0.558,
2011-07,0.555,
2011-08,0.553,
2011-09,0.569,
2011-10,0.577,
2011-11,0.590,
2011-12,0.561,
2012-01,0.588,
2012-02,0.373,
2012-03,0.414,
2012-04,0.407,
2012-05,0.402,
2012-06,0.410,
2012-07,0.393,
2012-08,0.377,
2012-09,0.411,
2012-10,0.504,
2012-11,0.401,
2012-12,0.396,
2013-01,0.386,
2013-02,0.401,
2013-03,0.447,
2013-04,0.692,
2013-05,0.707,
2013-06,0.743,
2013-07,0.731,
2013-08,0.808,
2013-09,0.790,
2013-10,0.796,
2013-11,0.803,
2013-12,0.782,
2014-01,0.778,
2014-02,0.818,
2014-03,0.835,
2014-04,0.844,
2014-05,0.847,
2014-06,0.841,
2014-07,0.837,
2014-08,0.811,
2014-09,0.838,
2014-10,0.837,
2014-11,0.847,
2014-12,0.816,
