"",BBK01.OECB03I,BBK01.OECB03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:58,
2002-01,0.643,
2002-04,0.626,
2002-07,0.583,
2002-10,0.517,
2003-01,0.421,
2003-04,0.464,
2003-07,0.452,
2003-10,0.441,
2004-01,0.426,
2004-04,0.394,
2004-07,0.363,
2004-10,0.345,
2005-01,0.387,
2005-04,0.420,
2005-07,0.389,
2005-10,0.358,
2006-01,0.357,
2006-04,0.517,
2006-07,0.500,
2006-10,0.304,
2007-01,0.318,
2007-04,0.323,
2007-07,0.358,
2007-10,0.325,
2008-01,0.352,
2008-04,0.461,
2008-07,0.678,
2008-10,0.724,
2009-01,0.716,
2009-04,0.637,
2009-07,0.642,
2009-10,0.619,
2010-01,0.607,
2010-04,0.584,
2010-07,0.783,
2010-10,0.715,
2011-01,0.645,
2011-04,0.634,
2011-07,0.603,
2011-10,0.569,
2012-01,0.531,
2012-04,0.666,
2012-07,0.654,
2012-10,0.644,
2013-01,0.663,
2013-04,1.279,
2013-07,1.281,
2013-10,1.047,
2014-01,0.820,
2014-04,0.640,
2014-07,0.647,
