"",BBK01.OEAC31N,BBK01.OEAC31N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:53,
2002-01,22.153,
2002-04,22.080,
2002-07,21.826,
2002-10,22.128,
2003-01,22.852,
2003-04,22.387,
2003-07,21.660,
2003-10,20.452,
2004-01,20.059,
2004-04,20.271,
2004-07,20.624,
2004-10,19.662,
2005-01,19.889,
2005-04,20.008,
2005-07,20.975,
2005-10,21.438,
2006-01,22.105,
2006-04,23.080,
2006-07,24.318,
2006-10,24.254,
2007-01,25.118,
2007-04,26.120,
2007-07,27.092,
2007-10,28.169,
2008-01,31.095,
2008-04,32.111,
2008-07,30.437,
2008-10,31.708,
2009-01,29.411,
2009-04,29.611,
2009-07,30.323,
2009-10,30.763,
2010-01,30.691,
2010-04,30.230,
2010-07,31.758,
2010-10,32.214,
2011-01,31.932,
2011-04,31.171,
2011-07,31.471,
2011-10,31.715,
2012-01,32.233,
2012-04,31.234,
2012-07,30.286,
2012-10,29.933,
2013-01,30.207,
2013-04,30.480,
2013-07,29.035,
2013-10,28.791,
2014-01,29.997,
2014-04,30.318,
2014-07,30.288,
