"",BBK01.OXA8L9,BBK01.OXA8L9_FLAGS
"","Stocks of loans to domestic non-financial corporations (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:42,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,2.739,
2010-07,2.623,
2010-08,2.513,
2010-09,2.412,
2010-10,2.269,
2010-11,2.065,
2010-12,1.924,
2011-01,1.862,
2011-02,1.696,
2011-03,1.669,
2011-04,1.618,
2011-05,1.575,
2011-06,1.528,
2011-07,1.578,
2011-08,1.531,
2011-09,1.498,
2011-10,1.488,
2011-11,1.167,
2011-12,1.158,
2012-01,1.150,
2012-02,1.142,
2012-03,0.985,
2012-04,0.760,
2012-05,0.755,
2012-06,0.740,
2012-07,0.732,
2012-08,0.720,
2012-09,0.714,
2012-10,0.710,
2012-11,0.501,
2012-12,0.483,
2013-01,0.479,
2013-02,0.549,
2013-03,0.543,
2013-04,0.531,
2013-05,0.522,
2013-06,0.505,
2013-07,0.545,
2013-08,0.538,
2013-09,0.528,
2013-10,0.520,
2013-11,0.513,
2013-12,0.508,
2014-01,0.501,
2014-02,0.494,
2014-03,0.368,
2014-04,0.351,
2014-05,0.444,
2014-06,0.432,
2014-07,0.423,
2014-08,0.419,
2014-09,0.409,
2014-10,0.397,
2014-11,0.342,
2014-12,0.333,Provisional value
