"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F3.T._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F3.T._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:33,
1999-10,-320530,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,-343454,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,-322279,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,-425936,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,-447224,
2004-01,-482878,
2004-04,-469422,
2004-07,-494762,
2004-10,-495448,
2005-01,-502190,
2005-04,-541086,
2005-07,-553581,
2005-10,-527549,
2006-01,-488812,
2006-04,-417389,
2006-07,-399378,
2006-10,-381909,
2007-01,-344015,
2007-04,-381827,
2007-07,-428907,
2007-10,-485467,
2008-01,-512049,
2008-04,-466816,
2008-07,-549275,
2008-10,-659407,
2009-01,-650814,
2009-04,-605796,
2009-07,-560769,
2009-10,-517128,
2010-01,-546844,
2010-04,-607333,
2010-07,-618353,
2010-10,-513884,
2011-01,-468469,
2011-04,-520619,
2011-07,-700764,
2011-10,-705864,
2012-01,-636024,
2012-04,-679769,
2012-07,-640382,
2012-10,-617700,
2013-01,-609524,
2013-04,-525880,
2013-07,-466934,
2013-10,-388005,
2014-01,-393135,
2014-04,-382450,
2014-07,-396855,
