"",BBEX3.M.RSD.USD.CA.AC.A01,BBEX3.M.RSD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Serbia  / USD 1 = RSD ... (middle),
unit,RSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:27,
2006-10,62.83510,
2006-11,59.71910,
2006-12,59.97570,
2007-01,60.94740,
2007-02,60.51600,
2007-03,61.10880,
2007-04,59.18710,
2007-05,60.44370,
2007-06,58.78120,
2007-07,58.01150,
2007-08,58.48460,
2007-09,55.67680,
2007-10,53.48660,
2007-11,57.44480,
2007-12,53.72670,
2008-01,55.58120,
2008-02,54.96810,
2008-03,52.12750,
2008-04,51.46070,
2008-05,53.08830,
2008-06,50.01170,
2008-07,49.39620,
2008-08,51.79500,
2008-09,53.27760,
2008-10,66.33700,
2008-11,69.02060,
2008-12,62.90000,
2009-01,72.86760,
2009-02,73.68020,
2009-03,71.58980,
2009-04,71.64100,
2009-05,67.73620,
2009-06,66.24710,
2009-07,65.92610,
2009-08,65.14570,
2009-09,63.59750,
2009-10,62.99530,
2009-11,62.92870,
2009-12,66.72850,
2010-01,70.64280,
2010-02,73.29780,
2010-03,74.38140,
2010-04,74.96470,
2010-05,83.41880,
2010-06,85.47940,
2010-07,81.23710,
2010-08,83.00020,
2010-09,78.10990,
2010-10,77.33570,
2010-11,81.75920,
2010-12,79.28020,
2011-01,76.81380,
2011-02,74.99540,
2011-03,73.22240,
2011-04,67.14010,
2011-05,67.41760,
2011-06,70.63980,
2011-07,71.25170,
2011-08,70.40240,
2011-09,74.67760,
2011-10,71.79570,
2011-11,78.02350,
2011-12,80.86620,
2012-01,80.39260,
2012-02,81.78330,
2012-03,83.31290,
2012-04,84.43870,
2012-05,94.10270,
2012-06,92.14760,
2012-07,95.80160,
2012-08,94.73860,
2012-09,88.93770,
2012-10,87.42370,
2012-11,86.65110,
2012-12,86.17630,
2013-01,82.16250,
2013-02,84.84480,
2013-03,87.42580,
2013-04,84.39010,
2013-05,85.61030,
2013-06,87.41410,
2013-07,85.82960,
2013-08,86.39800,
2013-09,84.88590,
2013-10,83.19940,
2013-11,83.73290,
2013-12,83.12820,
2014-01,85.57140,
2014-02,84.61830,
2014-03,83.88550,
2014-04,83.78000,
2014-05,85.00700,
2014-06,84.84930,
2014-07,87.17250,
2014-08,89.41740,
2014-09,93.62020,
2014-10,94.76310,
2014-11,96.83250,
2014-12,99.46410,
2015-01,108.91210,
"","General: * Independent since 3 June 2006; formerly ""Serbia and Montenegro"". The euro has been the sole legal tender in Montenegro since 1 April 2002. On 25 October 2006, the ISO code was changed from CSD to RSD.",
"","Source: Calculated on the basis of the buying and selling rates of the National Bank of Serbia, Belgrade.",
