"",BBK01.CEHQQ3,BBK01.CEHQQ3_FLAGS
"",short-term time deposits (consolidated) debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:35,
1991-01,-7.2,
1991-04,-17.8,
1991-07,-5.0,
1991-10,21.0,
1992-01,-10.8,
1992-04,-13.0,
1992-07,-4.6,
1992-10,18.0,
1993-01,0.7,
1993-04,4.3,
1993-07,4.9,
1993-10,34.4,
1994-01,-28.3,
1994-04,-15.8,
1994-07,0.2,
1994-10,28.5,
1995-01,-8.9,
1995-04,14.8,
1995-07,7.3,
1995-10,6.1,
1996-01,-14.6,
1996-04,-0.8,
1996-07,-5.3,
1996-10,29.3,
1997-01,-5.8,
1997-04,-0.7,
1997-07,3.2,
1997-10,24.4,
1998-01,-19.1,
1998-04,5.8,
1998-07,-9.6,
1998-10,55.2,
1999-01,-32.3,
1999-04,-6.3,
1999-07,16.4,
1999-10,13.7,
2000-01,-13.6,
2000-04,4.8,
2000-07,20.8,
2000-10,13.0,
2001-01,8.5,
2001-04,-19.9,
2001-07,23.2,
2001-10,20.6,
2002-01,-9.9,
2002-04,17.8,
2002-07,38.0,
2002-10,28.8,
2003-01,24.6,
2003-04,31.9,
2003-07,-34.1,
2003-10,30.8,
2004-01,2.5,
2004-04,32.6,
2004-07,-5.8,
2004-10,87.8,
2005-01,-13.9,
2005-04,5.7,
2005-07,18.1,
2005-10,3.6,
2006-01,26.2,
2006-04,30.8,
2006-07,-14.5,
2006-10,12.0,
2007-01,-14.0,
2007-04,27.7,
2007-07,30.5,
2007-10,29.0,
2008-01,-30.8,
2008-04,-10.1,
2008-07,-1.1,
2008-10,-52.4,
2009-01,-79.1,
2009-04,-23.6,
2009-07,-38.0,
2009-10,48.8,
2010-01,-37.1,
2010-04,10.7,
2010-07,-11.6,
2010-10,-48.4,
2011-01,-41.4,
2011-04,-6.8,
2011-07,-11.7,
2011-10,14.6,
2012-01,-26.2,
2012-04,-33.6,
2012-07,-12.4,
2012-10,3.1,
2013-01,-16.8,
2013-04,2.4,
2013-07,-23.1,
2013-10,14.2,
2014-01,34.7,
