"",BBK01.OEAD25N,BBK01.OEAD25N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:32,
2002-01,1.047,
2002-04,0.917,
2002-07,0.875,
2002-10,0.909,
2003-01,0.927,
2003-04,0.997,
2003-07,0.849,
2003-10,0.748,
2004-01,0.711,
2004-04,0.739,
2004-07,0.779,
2004-10,0.740,
2005-01,0.748,
2005-04,0.648,
2005-07,0.666,
2005-10,0.678,
2006-01,0.656,
2006-04,0.620,
2006-07,0.644,
2006-10,0.623,
2007-01,0.639,
2007-04,0.634,
2007-07,0.642,
2007-10,0.659,
2008-01,0.702,
2008-04,0.726,
2008-07,0.790,
2008-10,0.916,
2009-01,0.942,
2009-04,0.902,
2009-07,0.945,
2009-10,0.905,
2010-01,1.031,
2010-04,1.136,
2010-07,1.281,
2010-10,1.276,
2011-01,1.338,
2011-04,1.328,
2011-07,1.304,
2011-10,1.441,
2012-01,1.423,
2012-04,1.391,
2012-07,1.403,
2012-10,1.286,
2013-01,1.283,
2013-04,1.247,
2013-07,1.230,
2013-10,1.051,
2014-01,1.435,
2014-04,1.454,
2014-07,1.449,
