"",BBSF2.M.1.T.00000.AKT01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Equity funds / Distribution of earnings,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:46,
2009-09,21,
2009-10,129,
2009-11,653,
2009-12,370,
2010-01,448,
2010-02,152,
2010-03,165,
2010-04,99,
2010-05,65,
2010-06,64,
2010-07,13,
2010-08,62,
2010-09,247,
2010-10,27,
2010-11,649,
2010-12,392,
2011-01,229,
2011-02,182,
2011-03,164,
2011-04,36,
2011-05,106,
2011-06,134,
2011-07,59,
2011-08,131,
2011-09,142,
2011-10,38,
2011-11,664,
2011-12,357,
2012-01,434,
2012-02,208,
2012-03,323,
2012-04,42,
2012-05,158,
2012-06,152,
2012-07,187,
2012-08,317,
2012-09,157,
2012-10,211,
2012-11,899,
2012-12,572,
2013-01,368,
2013-02,206,
2013-03,191,
2013-04,66,
2013-05,186,
2013-06,193,
2013-07,195,
2013-08,112,
2013-09,155,
2013-10,172,
2013-11,911,
2013-12,1405,
2014-01,218,
2014-02,183,
2014-03,162,
2014-04,68,
2014-05,151,
2014-06,168,
2014-07,217,
2014-08,158,
2014-09,319,
2014-10,117,
2014-11,424,
