"",BBK01.OEAE13N,BBK01.OEAE13N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:38,
2002-01,5.116,
2002-04,5.297,
2002-07,5.279,
2002-10,5.503,
2003-01,5.744,
2003-04,5.335,
2003-07,5.256,
2003-10,5.181,
2004-01,4.859,
2004-04,4.703,
2004-07,4.458,
2004-10,4.596,
2005-01,4.210,
2005-04,4.300,
2005-07,4.102,
2005-10,4.028,
2006-01,3.876,
2006-04,3.953,
2006-07,4.102,
2006-10,4.180,
2007-01,4.046,
2007-04,4.148,
2007-07,4.195,
2007-10,4.558,
2008-01,4.493,
2008-04,4.335,
2008-07,4.380,
2008-10,3.859,
2009-01,3.117,
2009-04,3.160,
2009-07,3.042,
2009-10,2.849,
2010-01,2.912,
2010-04,2.776,
2010-07,2.710,
2010-10,2.385,
2011-01,2.378,
2011-04,2.517,
2011-07,2.636,
2011-10,2.778,
2012-01,2.501,
2012-04,2.553,
2012-07,2.496,
2012-10,2.616,
2013-01,2.665,
2013-04,2.545,
2013-07,2.410,
2013-10,2.392,
2014-01,2.220,
2014-04,2.217,
2014-07,2.393,
