"",BBK01.OELB21I,BBK01.OELB21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:35,
2002-01,0.350,
2002-04,0.486,
2002-07,0.596,
2002-10,0.565,
2003-01,0.478,
2003-04,0.409,
2003-07,0.406,
2003-10,0.503,
2004-01,0.182,
2004-04,0.216,
2004-07,0.139,
2004-10,0.278,
2005-01,0.116,
2005-04,0.126,
2005-07,0.137,
2005-10,0.260,
2006-01,0.177,
2006-04,0.194,
2006-07,0.114,
2006-10,0.111,
2007-01,0.106,
2007-04,0.106,
2007-07,0.106,
2007-10,0.163,
2008-01,0.106,
2008-04,0.107,
2008-07,0.108,
2008-10,0.103,
2009-01,0.083,
2009-04,0.068,
2009-07,0.067,
2009-10,0.067,
2010-01,0.062,
2010-04,0.062,
2010-07,0.052,
2010-10,0.042,
2011-01,0.041,
2011-04,0.036,
2011-07,0.036,
2011-10,0.036,
2012-01,0.027,
2012-04,0.027,
2012-07,0.027,
2012-10,0.017,
2013-01,0.011,
2013-04,0.011,
2013-07,0.011,
2013-10,0.011,
2014-01,0.001,
2014-04,0.001,
2014-07,0.001,
