"",BBEX3.M.PHP.EUR.BB.AC.A01,BBEX3.M.PHP.EUR.BB.AC.A01_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = PHP ... / Philippines,
unit,PHP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:45,
1999-01,43.819,
1999-02,42.923,
1999-03,41.647,
1999-04,40.266,
1999-05,39.703,
1999-06,39.239,
1999-07,41.148,
1999-08,41.950,
1999-09,43.681,
1999-10,41.989,
1999-11,41.376,
1999-12,40.407,
2000-01,39.739,
2000-02,39.802,
2000-03,39.287,
2000-04,37.474,
2000-05,39.635,
2000-06,41.263,
2000-07,41.557,
2000-08,40.238,
2000-09,40.441,
2000-10,43.012,
2000-11,43.001,
2000-12,46.562,
2001-01,45.471,
2001-02,44.676,
2001-03,43.738,
2001-04,45.630,
2001-05,42.829,
2001-06,44.459,
2001-07,46.848,
2001-08,46.691,
2001-09,46.957,
2001-10,46.960,
2001-11,46.228,
2001-12,45.437,
2002-01,44.248,
2002-02,44.334,
2002-03,44.514,
2002-04,45.608,
2002-05,47.107,
2002-06,50.204,
2002-07,50.160,
2002-08,50.977,
2002-09,51.694,
2002-10,52.405,
2002-11,53.137,
2002-12,56.318,
2003-01,58.233,
2003-02,58.797,
2003-03,58.316,
2003-04,58.469,
2003-05,62.981,
2003-06,61.037,
2003-07,61.907,
2003-08,59.962,
2003-09,63.957,
2003-10,64.307,
2003-11,66.845,
2003-12,70.171,
2004-01,69.252,
2004-02,69.925,
2004-03,68.646,
2004-04,66.972,
2004-05,68.059,
2004-06,68.220,
2004-07,67.350,
2004-08,68.034,
2004-09,69.835,
2004-10,71.741,
2004-11,74.678,
2004-12,76.510,
2005-01,71.828,
2005-02,72.464,
2005-03,71.199,
2005-04,70.130,
2005-05,67.229,
2005-06,67.685,
2005-07,67.848,
2005-08,68.608,
2005-09,67.465,
2005-10,66.000,
2005-11,63.682,
2005-12,62.719,
2006-01,63.195,
2006-02,61.192,
2006-03,61.888,
2006-04,64.939,
2006-05,68.072,
2006-06,67.519,
2006-07,65.725,
2006-08,65.283,
2006-09,63.490,
2006-10,63.277,
2006-11,65.498,
2006-12,64.546,
2007-01,63.319,
2007-02,64.139,
2007-03,64.200,
2007-04,64.590,
2007-05,62.220,
2007-06,62.461,
2007-07,62.093,
2007-08,63.783,
2007-09,63.841,
2007-10,63.104,
2007-11,63.133,
2007-12,60.724,
2008-01,60.224,
2008-02,61.153,
2008-03,65.715,
2008-04,65.610,
2008-05,67.824,
2008-06,70.867,
2008-07,68.900,
2008-08,67.760,
2008-09,67.300,
2008-10,62.190,
2008-11,62.300,
2008-12,65.930,
2009-01,59.660,
2009-02,61.580,
2009-03,64.320,
2009-04,63.924,
2009-05,66.516,
2009-06,67.865,
2009-07,67.941,
2009-08,69.667,
2009-09,69.318,
2009-10,70.481,
2009-11,70.918,
2009-12,66.507,
2010-01,64.922,
2010-02,62.596,
2010-03,60.920,
2010-04,59.188,
2010-05,56.918,
2010-06,56.873,
2010-07,59.343,
2010-08,57.456,
2010-09,59.869,
2010-10,59.741,
2010-11,57.361,
2010-12,58.300,
2011-01,60.700,
2011-02,60.228,
2011-03,61.559,
2011-04,63.475,
2011-05,62.333,
2011-06,62.619,
2011-07,60.127,
2011-08,61.040,
2011-09,59.039,
2011-10,59.749,
2011-11,58.568,
2011-12,56.754,
2012-01,56.506,
2012-02,57.438,
2012-03,57.281,
2012-04,55.699,
2012-05,53.922,
2012-06,53.055,
2012-07,51.244,
2012-08,53.191,
2012-09,53.961,
2012-10,53.527,
2012-11,52.989,
2012-12,54.107,
2013-01,55.116,
2013-02,53.427,
2013-03,52.296,
2013-04,53.797,
2013-05,55.031,
2013-06,56.445,
2013-07,57.697,
2013-08,58.996,
2013-09,58.765,
2013-10,58.971,
2013-11,59.447,
2013-12,61.289,
2014-01,61.360,
2014-02,61.674,
2014-03,61.726,
2014-04,61.746,
2014-05,59.641,
2014-06,59.652,
2014-07,58.211,
2014-08,57.583,
2014-09,56.597,
2014-10,56.355,
2014-11,56.146,
2014-12,54.436,
2015-01,49.934,
2015-02,49.486,
"","General: Up to March 2005, ECB indicative rates. Since April 2005 euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
