"",BBFN1.M.DE.N.1.A.AE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / United Arab Emirates,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:45,
1994-12,0.364,
1995-01,0.360,
1995-02,0.385,
1995-03,0.371,
1995-04,0.341,
1995-05,0.345,
1995-06,0.320,
1995-07,0.327,
1995-08,0.320,
1995-09,0.276,
1995-10,0.291,
1995-11,0.306,
1995-12,0.336,
1996-01,0.330,
1996-02,0.306,
1996-03,0.314,
1996-04,0.293,
1996-05,0.292,
1996-06,0.304,
1996-07,0.316,
1996-08,0.321,
1996-09,0.321,
1996-10,0.317,
1996-11,0.312,
1996-12,0.310,
1997-01,0.300,
1997-02,0.306,
1997-03,0.321,
1997-04,0.335,
1997-05,0.336,
1997-06,0.386,
1997-07,0.398,
1997-08,0.401,
1997-09,0.391,
1997-10,0.387,
1997-11,0.413,
1997-12,0.413,
1998-01,0.384,
1998-02,0.401,
1998-03,0.428,
1998-04,0.448,
1998-05,0.441,
1998-06,0.434,
1998-07,0.432,
1998-08,0.439,
1998-09,0.440,
1998-10,0.465,
1998-11,0.462,
1998-12,0.478,
1999-01,0.469,
1999-02,0.484,
1999-03,0.476,
1999-04,0.446,
1999-05,0.449,
1999-06,0.471,
1999-07,0.484,
1999-08,0.492,
1999-09,0.505,
1999-10,0.541,
1999-11,0.553,
1999-12,0.564,
2000-01,0.557,
2000-02,0.568,
2000-03,0.588,
2000-04,0.614,
2000-05,0.612,
2000-06,0.616,
2000-07,0.647,
2000-08,0.708,
2000-09,0.715,
2000-10,0.706,
2000-11,0.737,
2000-12,0.876,
2001-01,0.819,
2001-02,0.811,
2001-03,0.838,
2001-04,0.814,
2001-05,0.816,
2001-06,0.822,
2001-07,0.783,
2001-08,0.812,
2001-09,0.838,
2001-10,0.866,
2001-11,0.888,
2001-12,0.893,
2002-01,0.846,
2002-02,0.874,
2002-03,0.830,
2002-04,0.834,
2002-05,0.859,
2002-06,0.866,
2002-07,0.923,
2002-08,0.895,
2002-09,0.829,
2002-10,0.828,
2002-11,0.886,
2002-12,0.901,
2003-01,0.866,
2003-02,0.836,
2003-03,0.808,
2003-04,0.801,
2003-05,0.808,
2003-06,0.788,
2003-07,0.794,
2003-08,0.816,
2003-09,0.800,
2003-10,0.798,
2003-11,0.851,
2003-12,0.853,
2004-01,0.974,
2004-02,0.775,
2004-03,1.078,
2004-04,0.811,
2004-05,0.827,
2004-06,0.859,
2004-07,0.878,
2004-08,0.859,
2004-09,0.834,
2004-10,0.844,
2004-11,0.888,
2004-12,0.807,
2005-01,0.799,
2005-02,0.840,
2005-03,0.834,
2005-04,0.840,
2005-05,0.855,
2005-06,0.881,
2005-07,0.932,
2005-08,0.953,
2005-09,1.006,
2005-10,1.013,
2005-11,1.147,
2005-12,1.168,
2006-01,1.201,
2006-02,1.151,
2006-03,1.231,
2006-04,1.224,
2006-05,1.253,
2006-06,1.297,
2006-07,1.306,
2006-08,1.323,
2006-09,1.357,
2006-10,1.367,
2006-11,1.489,
2006-12,1.460,
2007-01,1.462,
2007-02,1.507,
2007-03,1.544,
2007-04,1.564,
2007-05,1.568,
2007-06,1.591,
2007-07,1.634,
2007-08,1.615,
2007-09,1.623,
2007-10,1.731,
2007-11,1.975,
2007-12,1.883,
2008-01,1.987,
2008-02,1.903,
2008-03,1.934,
2008-04,1.977,
2008-05,2.285,
2008-06,1.995,
2008-07,1.981,
2008-08,2.126,
2008-09,2.088,
2008-10,2.160,
2008-11,2.212,
2008-12,2.247,
2009-01,2.148,
2009-02,2.066,
2009-03,1.899,
2009-04,1.817,
2009-05,1.766,
2009-06,1.693,
2009-07,1.703,
2009-08,1.728,
2009-09,1.702,
2009-10,1.698,
2009-11,1.712,
2009-12,1.764,
2010-01,1.614,
2010-02,1.643,
2010-03,1.676,
2010-04,1.762,
2010-05,1.805,
2010-06,1.789,
2010-07,1.829,
2010-08,1.709,
2010-09,1.727,
2010-10,1.792,
2010-11,1.800,
2010-12,1.785,
2011-01,1.713,
2011-02,1.763,
2011-03,1.782,
2011-04,1.758,
2011-05,1.820,
2011-06,1.862,
2011-07,1.861,
2011-08,1.886,
2011-09,1.964,
2011-10,2.117,
2011-11,2.040,
2011-12,2.094,
2012-01,2.038,
2012-02,2.112,
2012-03,2.282,
2012-04,2.187,
2012-05,2.141,
2012-06,2.230,
2012-07,2.284,
2012-08,2.196,
2012-09,2.225,
2012-10,2.186,
2012-11,2.367,
2012-12,2.117,
2013-01,2.134,
2013-02,2.124,
2013-03,2.195,
2013-04,2.210,
2013-05,2.169,
2013-06,2.312,
2013-07,2.211,
2013-08,2.261,
2013-09,2.151,
2013-10,2.167,
2013-11,2.286,
2013-12,2.194,
2014-01,2.226,
2014-02,2.344,
2014-03,2.387,
2014-04,4.533,
2014-05,2.395,
2014-06,2.358,
2014-07,2.467,
2014-08,2.464,
2014-09,2.586,
2014-10,3.633,
2014-11,3.670,
2014-12,3.774,
